Suizide nach Methode, Geschlecht und Altersgruppen 2023;;;;;;;;;
Methode;Insgesamt;Gestorbene;;;;;;;
;;Männer im Alter von… Jahren;;;;Frauen im Alter von… Jahren;;;
;;0–24;25–44;45–64;65+;0–24;25–44;45–64;65+
Wien;184;7;34;35;53;5;7;13;30
Vergiften mit festen oder flüssigen Stoffen;38;0;4;4;8;2;1;4;15
Vergiften mit sonstigen Gasen;4;1;2;0;0;0;1;0;0
Erhängen, Erdrosseln, Ersticken;54;4;15;16;9;0;2;3;5
Ertränken;3;0;0;1;0;0;2;0;0
Feuerwaffen, Explosionsstoffe;36;0;2;5;26;0;0;2;1
Schneidende und stechende Gegenstände;9;0;1;3;2;0;1;1;1
Stumpfe Gegenstände;0;0;0;0;0;0;0;0;0
Sturz in die Tiefe;23;2;4;1;5;2;0;2;7
Überfahren lassen;7;0;2;2;2;0;0;0;1
Beabsichtigter Verkehrsunfall;0;0;0;0;0;0;0;0;0
Sonstige oder nicht näher bezeichnete Weise;10;0;4;3;1;1;0;1;0
Quelle: Statistik Austria – Todesursachenstatistik, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
