Wasserstände in Wien seit 2001;;;;;
Jahr;Wasserstand;;;;
;höchster;;niedrigster;;mittlerer
;cm;Tag;cm;Tag;cm
Donau;;;;;
2001;582;24. 3.;194;6. 11.;312
2002;789;15. 8.;212;19. 1.;342
2003;483;3. 1.;174;9. 12.;256
2004;544;14. 1.;177;3. 1.;275
2005;628;12. 7.;184;13. 11.;292
2006;669;8. 8.;167;7. 2.;298
2007;689;7. 9.;180;1. 1.;283
2008;545;17. 8.;186;27. 10.;280
2009;696;25. 6.;180;13. 1.;303
2010;663;4. 6.;198;2. 2.;290
2011;659;14. 1.;184;28. 11.;262
2012;588;13. 6.;211;27. 11.;305
2013;809;5. 6.;209;23. 12.;319
2014;626;24. 10.;194;10. 3.;272
2015;582;10. 1.;185;17. 11.;267
2016;604;15. 7.;184;2. 1.;292
2017;561;19. 3.;184;22. 1.;284
2018;590;25. 12.;173;22. 10.;265
2019;579;30. 5.;188;23. 9.;292
2020;613;5. 8.;191;21. 12.;276
2021;642;18. 7.;186;18. 1.;279
2022;491;3. 10.;191;15. 8.;260
2023;627;23. 12.;184;1610;293
Donaukanal;;;;;
2001;435;20. 6.;244;23. 1.;325
2002;558;14. 8.;236;8. 12.;330
2003;400;11. 10.;227;8. 12.;271
2004;406;4. 6.;222;2. 11.;282
2005;409;25. 8.;223;29. 7.;289
2006;447;8. 8.;222;10. 11.;308
2007;466;7. 9.;226;6. 11.;303
2008;395;17. 8.;229;11. 11.;311
2009;443;25. 6.;223;23. 3.;314
2010;448;13. 8.;231;4. 11.;312
2011;409;15. 1.;234;22. 3.;301
2012;416;19. 7.;226;28. 11.;307
2013;569;6. 6.;226;27. 11.;308
2014;429;30. 7.;229;11. 3.;311
2015;398;23. 5.;271;30. 7.;303
2016;433;26. 6.;227;8. 11.;307
2017;401;49;233;311;307
2018;439;2. 5.;274;21. 8.;299
2019;418;7. 6.;235;12. 3.;310
2020;413;5. 8.;230;8. 1.;305
2021;514;17. 7.;274;29. 9.;309
2022;389;3. 10.;227;7. 11.;299
2023;416;15. 4.;234;2311;306
Wienfluss;;;;;
2001;96;12. 12.;5;30. 10.;13
2002;156;13. 8.;12;5. 8.;22
2003;104;17. 7.;6;25. 12.;17
2004;155;1. 7.;8;7. 9.;18
2005;200;25. 7.;9;30. 7.;17
2006;162;8. 8.;11;12. 10.;23
2007;145;7. 9.;8;2. 9.;20
2008;188;25. 6.;9;10. 9. u. 4. 11.;18
2009;170;23. 7.;9;27. 9.;27
2010;227;13. 8.;10;4. 10.;21
2011;205;8. 6.;10;28. 11.;19
2012;189;19. 7.;8;15. 10.;17
2013;126;25. 6.;9;9. 9.;22
2014;144;16. 5.;8;20. 1.;18
2015;71;25. 2.;7;18. 9.;21
2016;110;23. 7.;8;27. 9.;20
2017;136;10. 7.;7;30. 8.;18
2018;163;2. 5.;5;21. 8.;16
2019;119;12. 8.;5;12. 12.;18
2020;133;21. 6.;6;28. 7.;22
2021;165;17. 7.;5;5. 10.;14
2022;93;27. 7.;5;13. 3.;17
2023;119;14. 4.;5;21. 6.;16
Quelle: via donau – Österreichische Wasserstraßen-Gesellschaft mbH und Stadt Wien Wiener Gewässer.;;;;;
Anmerkung: Die Wasserstände von Donau und Donaukanal für 2021 und 2022 sind endgültig, für 2023 handelt es sich um vorläufige Rohdaten. Die Wasserstände des Wienflusses 2022 sind endgültig, für 2023 vorläufig.;;;;;
