Museumsbesuche in Wien seit 2015;;;;;;;;
Einrichtung, Eigentümer/Erhalter;2015;2016;2017;2018;2019;2020;2021;2022
;Besuche in 1.000;;;;;;;
Bundesmuseen;;;;;;;;
Albertina;648,989;707,082;792,471;1004,8;1001,3;360,073;461,8;965,5
Kunsthistorisches Museum Wien;1303,673;1324,0819999999999;1323,825;1650,6999999999998;1628,2999999999997;412,5;501,2;1188,8
Hauptgebäude;767,413;700,901;727,269;901,6;852,3;255,464;272,6;618,6
Kunsthistorisches Museum Wien Neue Burg;73,95;68,219;57,788;–;–;–;–;–
Kaiserliche Schatzkammer Wien;243,674;229,978;250,194;258;290,5;46,13;69,1;202
Kaiserliche Wagenburg Wien;77,155;130,62;95,533;89,7;109;16,985;24,4;61,1
Theseustempel Wien;102,881;156,32;93,881;143,8;128,6;–;27,9;98,8
Theatermuseum Wien;33,744;38,044;38,251;81,6;80,3;23,437;19,1;25,9
Weltmuseum Wien (zuvor Museum für Völkerkunde);4,856;–;60,909;176;167,6;70,489;88,1;182,4
Museum moderner Kunst Stiftung Ludwig Wien;210,006;208,323;228,263;235,7;289,2;113,277;126,77;203,8
Naturhistorisches Museum Wien;652,177;706,48;757,173;777,1;841,8000000000001;302,324;348;826,4
Hauptgebäude;617,739;669,741;725,241;744,1;804,6;294,006;329,46;783,3
Pathologisch-anatomische Sammlung im Narrenturm;34,438;36,739;31,932;33;37,2;8,318;18,516;43,1
Österreichische Galerie Belvedere;1266,62;1329,4889999999998;1427,225;1592,8;1721,3999999999999;343,064;298,3;1241,5
Oberes Belvedere;739,468;805,199;948,178;1140,9;1264,1;271,621;289,317;879,6
Unteres Belvedere (1);387,486;348,832;337,968;369,6;362,1;38,26;–;279,6
21er Haus;41,461;89,186;66,93;82,3;95,2;33,183;39,101;82,3
Winterpalais;98,205;86,272;74,149;–;–;;;
Österreichische Nationalbibliothek;288,775;355,88;439;519,7;686,5;174,179;200,314;269,2
Prunksaal;211,201;271,17;337,566;387,2;487,9;129,996;138,359;128,2
Esperantomuseum;13,396;15,937;21,256;19,3;17,8;3,886;6,338;14,2
Globenmuseum;19,577;23,378;28,367;26,7;26,9;6;8,882;20,1
Papyrusmuseum;18,963;22,923;25,614;32,6;26,7;5,709;10,777;21,2
Sammlungen;5,8;6,533;5,759;11;;;;
Palais Mollard;0,512;0,531;;;;;;
Literaturmuseum;18,405;15,362;17,756;16,7;16,4;3,901;6,863;14,5
Haus der Geschichte Österreich;;;;24,3;102,5;23,349;28,058;70,1
Sonstige (2);0,921;0,046;2,7;1,9;8,3;1,338;1,037;0,9
Österreichisches Museum für angewandte Kunst/Gegenwartskunst;150,637;172,192;153,71599999999998;186,8;208,1;80,758;101,7;133,6
Hauptgebäude;149,097;170,228;152,516;185,8;205,2;80,758;96,719;128,7
Geymüller-Schlössel / Sammlung Sobek;1,54;1,964;1,2;1;2,9;–;4,947;4,9
Technisches Museum Wien;356,363;363,144;389,1;380,9;428,6;179,258;206,59;436
Hauptgebäude;356,363;363,144;389,1;380,9;428,6;179,258;206,59;436
Mediathek (3);2,372;2,489;2,5;2,7;;;;
Landesmuseen;;;;;;;;
Wien Museum;432,8560000000001;454,768;505,022;520,9;595,1;61,564;92,1;128,9
Wien Museum Karlsplatz;166,075;166,01;153,6;172,8;85,4;–;–;–
Neidhart Fresken;4,997;4,2;3,8;3,8;5,1;2,539;0,947;3,22
Römermuseum;25,8;25,697;29,4;26,6;27,1;9,665;8,98;21,503
Otto Wagner Pavillon Karlsplatz;6,878;8,046;7,9;21,1;7,8;0,918;1,558;4,267
Uhrenmuseum;18,502;18,364;20,8;19,4;19,6;6,879;3,672;14,235
Beethoven Pasqualatihaus;13,258;14,195;16,4;20,2;19,1;4,604;2,472;9,984
Johann Strauß Wohnung;7,764;6,962;5,8;5,6;6,8;2,056;1,316;5,24
Pratermuseum;4,47;11,881;7,2;6;6,6;2,231;1,566;4,756
Schubert Sterbewohnung;1,578;1,502;1,6;1,7;1,7;0,476;0,434;1,02
Haydnhaus;7,394;6,739;6,9;7,1;7,8;1,925;1,416;4,806
Schubert Geburtshaus;9,199;8,815;9,3;8;7,9;2,195;1,566;5,464
Hermesvilla;12,285;12,325;14,3;16,2;17,9;10,578;11,848;17,659
Otto Wagner Hofpavillon Hietzing;3,961;1,816;1,5;8,9;1,8;0,597;0,648;1,571
Beethoven Eroicahaus;0,085;0,144;–;0,1;–;–;–;–
Beethoven Museum;10,93;9,584;16,4;20,2;22,3;9,542;3,903;14,1
Mozartwohnung;157,122;176,512;202,1;218,8;215;;36,51;
Virgilkapelle;4,47;32,23;23,9;21;23,2;7,359;4,965;17,1
MUSA Startgalerie;;;;17,6;59,1;;10,297;4
andere Einrichtungen;;;;;;;;
Schönbrunn;5833,3;5899,9;5778,1;6275,6;6552,6;1850,5;1991,9;4382,9
Schloss Schönbrunn;3602;3719;3796;3978;4255;640;829;2344
Tiergarten Schönbrunn;2231,3;2180,9;1982,1;2297,6;2297,6;1210,5;1162,9;2038,9
Quelle: Statistik Austria – Kulturstatistik und Tiergarten Schönbrunn GmbH.;;;;;;;;
"(1) Wegen Renovierungsarbeiten 2021 geschlossen.
(2) Standort, der im Zuge der Museumsregistrierung nicht als Museum klassifiziert wurde.
(3) Die Mediathek wird ab 2019 nicht mehr gesondert ausgewiesen.";;;;;;;;
