Medienbestand nach Sammlungen der Wienbibliothek im Rathaus 2023;;;;;
Medienbestand;Sammlungen;;;;
;Druckschriften;Handschriften;Musik;Plakate;Dokumentation
Bücher;676345;–;–;–;–
Notendrucke;–;–;85505;–;–
Einblattmaterialien (1);–;–;–;262846;–
Mikromaterialien;5661;–;–;–;–
Sonstige nichtelektronische Materialien (2);–;–;–;–;250000
Manuskripte;–;261773;21575;–;–
Nachlässe;–;1797;864;–;–
Digitale Bestände;23316;94698;1439;195715;109990
Quelle: Stadt Wien Wienbibliothek im Rathaus.;;;;;
"(1) Einzeln inventarisierte Plakate.
(2) Überwiegend Tagblattarchiv-Mappen in der Dokumentationssammlung (Schätzung).";;;;;
