Wiener Volkshochschulen 2022/23 – BesucherInnen nach Kurskategorien und Volkshochschulen;;;;;;;;
Volkshochschule;BesucherInnen nach Kurskategorien;;;;;;;
;Insgesamt;"Politik, 
Gesellschaft 
und Kultur";Grundbildung und Zweiter Bildungsweg;"Naturwissen-
schaften, Technik 
und Umwelt";berufliche und berufsorientierte Bildung;Sprachen;Kreativität und Gestalten;Gesundheit und Bewegung
Insgesamt;147666;2745;18759;331;6136;37665;31278;50752
Urania;7836;134;–;25;110;2094;1345;4128
Landstraße;7117;158;–;–;27;2658;1255;3019
Polycollege;8152;28;3109;53;392;1069;2194;1307
Wien-West;7044;447;101;–;314;1597;1783;2802
Alsergrund, Währing, Döbling;9479;176;–;85;75;2837;2703;3603
Favoriten;7354;195;2803;–;41;1941;887;1487
Simmering;5341;79;20;3;298;1028;1274;2639
Meidling;15784;75;4411;–;3630;3785;1868;2015
Hietzing;4368;138;–;57;129;1836;602;1606
Penzing;7836;134;–;25;110;2094;1345;4128
Rudolfsheim-Fünfhaus;4310;98;935;20;215;674;622;1746
Ottakring-Hernals;12737;201;3018;26;55;2961;1474;5002
Brigittenau;6699;217;963;–;–;3075;733;1711
Floridsdorf;10725;42;3379;37;380;2762;1258;2867
Donaustadt;10609;268;17;–;81;2072;1973;6198
Liesing;11389;161;3;–;52;2326;2375;6472
Künstlerische Volkshochschule;7891;172;–;–;227;–;7492;–
Jüdisches Institut;551;–;–;–;–;434;95;22
Lateinamerika Institut;2444;22;–;–;–;2422;–;–
Quelle: Die Wiener Volkshochschulen GmbH.;;;;;;;;
