Glaubensangehörige nach Religionsbekenntnis und Gemeindebezirken 2023;;;;;
Gemeindebezirk;Religionsbekenntnis;;;;
;römisch-katholisch;altkatholisch;neuapostolisch;Mormonen;buddhistisch (1)
Wien;540715;3047;521;1333;1727
1. Innere Stadt;6183;32;–;11;32
2. Leopoldstadt;25768;156;13;107;145
3. Landstraße;28239;108;20;85;104
4. Wieden;9851;49;5;27;50
5. Margareten;12598;57;14;20;63
6. Mariahilf;8664;28;13;24;44
7. Neubau;9440;24;9;20;54
8. Josefstadt;8294;44;3;7;39
9. Alsergrund;13204;49;1;24;54
10. Favoriten;43124;279;33;102;98
11. Simmering;25976;171;22;72;49
12. Meidling;23494;122;14;48;76
13. Hietzing;21467;129;18;29;88
14. Penzing;30130;192;38;42;99
15. Rudolfsheim-Fünfhaus;16664;79;24;45;66
16. Ottakring;24281;154;24;41;72
17. Hernals;15967;104;15;30;50
18. Währing;18113;118;15;43;72
19. Döbling;26640;141;16;74;82
20. Brigittenau;17710;99;6;69;60
21. Floridsdorf;51988;334;82;139;96
22. Donaustadt;64754;370;108;198;138
23. Liesing;38166;208;28;76;82
Quelle: Religionsgemeinschaften und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
(1) Inklusive 14 Personen mit unbekanntem Wohnsitz. Registrierte Mitglieder 2023. Die Buddhistische Religionsgesellschaft schätzt, dass in Wien ca. 13.000 bekennende BuddhistInnen leben und teilte mit, dass ein Beitritt zur Religionsgesellschaft keine Voraussetzung für ein tatsächliches Bekenntnis zum Buddhismus darstellt.;;;;;
