Religionsgemeinschaften in Wien 2023 – Islamische Glaubensgemeinschaft und christliche orthodoxe Kirchen;;;;;;
Merkmal;Islamisch;Orthodoxe Kirchengemeinden;;;;
;;"bulgarisch-
orthodox";"griechisch-
orthodox";"rumänisch-
orthodox";"russisch-
orthodox";"serbisch-
orthodox"
Glaubensangehörige insgesamt (1);;10000;24000;21377;12000;80000
Taufen;–;25;95;307;103;904
Übertritte (2);54;–;19;6;5;20
Trauungen;5;1;9;47;10;79
Kirchengemeinden (Pfarren);–;1;5;3;1;12
Stätten der Religionsausübung;105;2;4;4;2;4
Geistliche;103;2;12;10;12;18
"Von der Glaubensgemeinschaft
erhaltene Bildungseinrichtungen";8;–;2;–;–;–
Schulen (3);8;–;1;–;–;–
Kindergärten;–;–;1;–;–;–
Quelle: Islamische Glaubensgemeinschaft Österreich - Islamische Religionsgemeinde Wien, Bulgarisch-orthodoxe Kirchengemeinde Hl. Ivan Rilski, Griechisch-orientalische Metropolis von Austria, Rumänisch-orthodoxe Kirchengemeinde zur Hl. Auferstehung, Russisch-orthodoxe Kirchengemeinde zum Hl. Nikolaus, Serbische Orthodoxe Kirche - Diözese von Österreich und der Schweiz.;;;;;;
"(1) Die Zahl der Glaubensangehörigen, außer bei der rumänisch-orthodoxen Kirchengemeinde, beruht auf Schätzung der jeweiligen Pfarrer. Von der Islamischen Glaubensgemeinschaft wurden seit 2017 keine detaillierten Angaben zur Zahl der Glaubensangehörigen gemacht_ nach deren Schätzung gibt es in Wien ca. 200.000 passive Mitglieder. 
(2) Konversionen, d. h. Übertritt von einer Glaubensgemeinschaft in eine andere, und Reversionen, d. h. Rückkehr in die ursprüngliche Glaubensgemeinschaft nach einem Austritt aus derselben.
3) 2023 wurden von der Islamischen Glaubensgemeinschaft für den islamischen Religionsunterricht in den öffentlichen und konfessionellen Schulen 290 ReligionslehrerInnen, für den orthodoxen Religionsunterricht von der russisch-orthodoxen Kirche 1 Religionslehrer und von der serbisch-orthodoxen Kirche 23 männliche und 30 weibliche ReligionslehrerInnen gestellt.";;;;;;
