Religionsaustritte in Wien nach Monaten, Geschlecht und Religionsgemeinschaften 2023;;;;;;;
Monat;Insgesamt;Geschlecht;;Religionsaustritte aus (der)…;;;
;;Männer;Frauen;"röm.-kath.
Kirche";evangelischen Kirche A.B.;evangelischen Kirche H.B.;"sonst. Religions-
gemeinschaften"
2023;14543;6670;7873;12797;1350;66;285
Jänner;1493;674;819;1375;97;8;13
Februar;1264;577;687;1120;114;10;20
März;1441;713;728;1231;188;8;14
April;1262;555;707;1048;194;4;16
Mai;1517;708;809;1376;116;2;23
Juni;1115;508;607;997;60;3;10
Juli;975;464;511;854;93;6;22
August;1004;431;573;874;100;5;25
September;1166;542;624;1055;70;6;35
Oktober;1202;525;677;1082;74;3;43
November;1267;595;672;1114;109;7;37
Dezember;837;378;459;671;135;4;27
Quelle: MD - Büro des Magistratsdirektors, Gruppe Magistratische Bezirksämter und Fahrservice.;;;;;;;
