Religionsaustritte nach Religionsgemeinschaften und Gemeindebezirken 2023;;;;;
Gemeindebezirk;Insgesamt;Religionsaustritte aus (der)…;;;
;;"römisch-katholischen
Kirche";"evangelischen
Kirche A.B.";"evangelischen
Kirche H.B.";"sonstigen Religions-
gemeinschaften"
Wien;14543;12797;1395;66;285
1. Innere Stadt;102;91;10;1;–
2. Leopoldstadt;833;727;89;3;14
3. Landstraße;798;701;83;2;12
4. Wieden;262;228;28;1;5
5. Margareten;461;385;65;1;10
6. Mariahilf;353;318;29;1;5
7. Neubau;370;341;26;2;1
8. Josefstadt;273;248;21;1;3
9. Alsergrund;499;443;48;3;5
10. Favoriten;1117;986;97;10;24
11. Simmering;657;568;67;1;21
12. Meidling;733;655;49;2;27
13. Hietzing;400;340;49;5;6
14. Penzing;519;448;55;1;15
15. Rudolfsheim-Fünfhaus;506;455;37;4;10
16. Ottakring;642;569;60;1;12
17. Hernals;486;427;52;0;7
18. Währing;489;425;52;5;7
19. Döbling;593;512;63;5;13
20. Brigittenau;431;390;35;0;6
21. Floridsdorf;1292;1158;100;5;29
22. Donaustadt;1852;1635;177;5;35
23. Liesing;875;747;103;7;18
Quelle: MD - Büro des Magistratsdirektors, Gruppe Magistratische Bezirksämter und Fahrservice.;;;;;
