Friedhöfe nach Erhalter und Bestattungen in Wien 2023;;;;;
Erhalter;Friedhöfe;;Grabstellen;Bestattungen (1);
;insgesamt;Fläche;;insgesamt;darunter…
;;m²;;;Urnen
Insgesamt;55;5392447;402621;12846;5804
Städtische Friedhöfe (2);46;4971411;336807;12242;5674
Konfessionelle Friedhöfe;7;421036;65814;604;130
Römisch-katholische Friedhöfe;3;23699;3745;112;31
Evangelische Friedhöfe;2;110381;15582;249;99
Jüdische Friedhöfe (3);1;252456;44742;48;–
Islamischer Friedhof;1;34500;1745;195;–
Quelle: Friedhöfe Wien GmbH und konfessionelle Friedhofsverwaltungen.;;;;;
"(1) Die Daten beziehen sich auf den Jahresendstand. Die Zahl der Bestattungen umfasst sowohl Bestattungen, die von der Bestattung Wien G.m.b.H., als auch von einem der im Jahr 2023 bestehenden 30 privaten Bestattungsunternehmen durchgeführt wurden. 
(2) Inklusive Urnenhain mit Feuerhalle Simmering und Urnengrabstellen auf 24 städtischen Friedhöfen. Die Zahl der Grabstellen auf den städtischen Friedhöfen beinhaltet nur alle Grabstellen, die 2023 ein aufrechtes Benützungsrecht hatten (Auswertung per 3. 7. 2024).
(3) Ohne zwei historische Friedhöfe, auf denen keine Bestattungen mehr stattfinden.";;;;;
