24-Stunden Frauennotruf der Stadt Wien – Beratungskontakte seit 2004;;;;;;;
Jahr;Insgesamt;Beratungskontakte;;;;;
;;telefonisch;persönlich;online;Grund für Erstkontakt (1);;
;;;;;darunter…;;
;;;;;sexualisierte Gewalt;körperliche Gewalt;psychische Gewalt
2004;6443;5542;901;;;;
2005;6422;5579;843;;;;
2006;6885;5792;1093;;;;
2007;7001;6067;934;;;;
2007;7001;6067;934;;;;
2008;7282;6662;620;;;;
2009;7638;7007;631;;;;
2010;7773;7154;619;;;;
2011;8409;7633;776;;;;
2012;7711;7001;710;;;;
2013;8107;7156;951;;;;
2014;8568;6699;1086;783;2783;3231;2229
2015;8775;6689;1151;935;3064;3611;2759
2016;10209;7696;1247;1266;4065;4086;3366
2017;9556;6749;1147;1660;4190;3834;3597
2018;9170;6148;1123;1899;4421;3729;3491
2019;10007;7075;983;1949;4601;3690;4601
2020;12806;8940;745;3121;7363;5416;4788
2021;13174;8300;556;4318;8058;4584;5217
2022;12416;7702;563;4151;8099;3705;4739
2023;11864;6985;643;4236;7349;3802;4131
Quelle: Stadt Wien Frauenservice Wien.;;;;;;;
(1) Änderung der Kategorien im Jahr 2014.;;;;;;;
