Einkommensteuer nach Gemeindebezirken 2021 – Männer;;;;
Gemeindebezirk;Veranlagungsfälle;Einkünfte;"Zu versteuerndes
Einkommen";"Festgesetzte
Einkommensteuer"
;;Mio. EUR;;
Wien;75944;5312,093451180001;5254,37179103;1990,59152448
1. Innere Stadt;1962;222,34087565000002;219,63107115;95,18845837
2. Leopoldstadt;4491;275,18015607999996;272,54949138999996;91,28898262999999
3. Landstraße;4731;338,205463;334,62679377;126,43165259
4. Wieden;2275;194,48119674;190,91983578999998;74,59112984000001
5. Margareten;2400;135,82109222999998;134,5952824;54,032529270000005
6. Mariahilf;1949;131,46914106;130,12974901;46,70731042
7. Neubau;2260;155,18343708;153,34934356;57,25543473
8. Josefstadt;1753;147,21065997;145,58709378999998;57,212289829999996
9. Alsergrund;2793;222,50640393;220,42615462999998;109,07403212999999
10. Favoriten;4683;239,52443207;237,21180128999998;93,89365618000001
11. Simmering;2079;103,06664109;102,00220704;29,987156010000003
12. Meidling;2837;153,12125314;151,65663309;48,446287270000006
13. Hietzing;3703;345,89330764;341,55223286;137,20592394
14. Penzing;4051;276,26174112;273,44205331;95,74226566
15. Rudolfsheim-Fünfhaus;2361;114,20770248999999;113,17172803;32,967817440000005
16. Ottakring;3316;192,48155465;190,50761797;68,44786979999999
17. Hernals;2456;167,10337428;165,46787185;60,98847069
18. Währing;3570;318,05721025;314,78731568;125,33306043
19. Döbling;4755;484,47339274;478,50144076;209,33497540000002
20. Brigittenau;1996;102,26328776000001;101,28540467;30,719540079999998
21. Floridsdorf;4596;267,38222207;264,94237567;85,1379987
22. Donaustadt;6232;381,86949192000003;378,13865601;132,64375689
23. Liesing;4695;343,98941422;339,88963731;127,96092618
Quelle: Statistik Austria – Einkommensteuerstatistik.;;;;
Anmerkung: Nur Steuerfälle erfasst. Rundungsdifferenzen nicht ausgeglichen.;;;;
