Bundesindex der Tariflöhne seit 2018;;;;;;
Gruppen- und Teilindex;Berichtsjahr;;;;;
;2018;2019,0;2020,0;2021;2022,0;2023,0
;2016 = 100;;;;;
Tariflohnindex  insgesamt;104,2;107,3;109,8;111,7;115,1;123,9
ArbeiterInnen;104,4;107,6;110,3;112,4;116,2;125,3
Angestellte;104,1;107,3;109,7;111,5;114,8;123,2
Öffentlich Bedienstete;103,7;106,9;109,5;111;114,4;123,1
Insgesamt;;;;;;
Gewerbe und Handwerk;104,2;107,4;110,2;112,2;115,9;125,0
Industrie;104,6;108,0;110,7;112,7;116,9;125,4
Handel;103,8;106,5;108,9;110,5;113,6;122,1
Bank und Versicherung;103,7;106,7;109,1;110,8;114,1;123,2
Transport und Verkehr;104,7;108,4;110,8;113,2;116,9;125,4
Tourismus und Freizeitwirtschaft;104,6;107,3;108,6;110,5;113,7;122,4
Information und Consulting;104;107,0;109,5;111,2;114,5;123,2
Arbeiterinnen und Arbeiter;;;;;;
Gewerbe und Handwerk;104,3;107,6;110,4;112,5;116,4;125,7
Industrie;104,7;108,1;110,9;113;117,2;125,8
Handel;104;107,1;109,7;111,4;114,6;124,2
Bank und Versicherung;104,2;107,0;109,4;111,3;114,5;124,1
Transport und Verkehr;105,1;108,9;112,0;115;119,3;129,1
Tourismus und Freizeitwirtschaft;104,3;107,1;108,1;110;113,2;122,3
Information und Consulting;104,3;107,6;110,2;112;116,0;125,4
Angestellte;;;;;;
Gewerbe und Handwerk;104;107,2;109,8;111,6;115,2;123,8
Industrie;104,6;108,0;110,5;112,5;116,6;125,2
Handel;103,7;106,3;108,7;110,3;113,4;121,6
Bank und Versicherung;103,6;106,7;109,1;110,8;114,1;123,2
Transport und Verkehr;104,4;108,1;109,9;111,9;115,2;122,6
Tourismus und Freizeitwirtschaft;105,3;108,0;109,8;111,8;115,1;122,9
Information und Consulting;104;107,0;109,5;111,1;114,4;122,9
Quelle: Statistik Austria – Bundes-Index.;;;;;;
