Lohnsteuerpflichtige Einkommen nach Gemeindebezirken 2022 – Insgesamt;;;;;;
Gemeindebezirk;"Durchschnittlicher Jahresbezug
pro ArbeitnehmerIn";;"Index des
durchschnittlichen
Nettobezuges pro
ArbeitnehmerIn";"Durchschnittlicher Jahresbezug
pro PensionistIn";;"Index des
durchschnittlichen
Nettobezuges
pro PensionistIn"
;brutto;netto;;brutto;netto;
;EUR;;;EUR;;
Wien;37420,25186463677;26005,34780998527;100;29849,55233761803;24190,53008388262;100
1. Innere Stadt;59519,61271571588;38198,18132687112;146,88586980637947;41118,75811000727;31448,92462805912;130,00510744910275
2. Leopoldstadt;37639,09616850215;25998,95816315465;99,97542948905237;27054,90240794075;22262,85632277309;92,03128763848842
3. Landstraße;42138,24345528871;28646,38284108329;110,15573815968706;30771,67137189449;24721,7511858378;102,195987851912
4. Wieden;43735,97030201134;29378,04988479981;112,9692634740287;33582,5213791527;26555,93364523011;109,77822128388782
5. Margareten;34556,18663730065;24138,80513441048;92,82246602040026;26552,19421507391;21958,06351030606;90,77132015778363
6. Mariahilf;40667,07065678764;27672,11306731131;106,40931730467398;30464,74136624958;24594,97345789651;101,67190786068537
7. Neubau;43721,67053817875;29378,30871572349;112,97025877286329;31977,62727868272;25523,5338703966;105,51043644720343
8. Josefstadt;44078,91540245788;29421,26930983966;113,1354578481845;36005,70964793352;28206,56263503171;116,60167237850172
9. Alsergrund;42192,58390497571;28455,10799917529;109,4202169764843;33675,60247221859;26586,90755654333;109,90626275799282
10. Favoriten;31219,10290986495;22364,69116073191;86,00035394313988;26650,24630642361;22095,44957802855;91,33925342442184
11. Simmering;32844,17432724329;23522,77425824732;90,45360373613339;26458,95264874;21973,67023261593;90,8358359921029
12. Meidling;33016,96566753226;23423,79064661923;90,07297582701509;27336,15522370685;22514,18273813139;93,07023310387015
13. Hietzing;50224,87604912573;33454,11707493755;128,64322107659788;37702,29157502393;29262,45150116263;120,96655757311939
14. Penzing;39730,95786106464;27481,51033479174;105,67638062598674;31591,33761021091;25367,02198289128;104,86343992847236
15. Rudolfsheim-Fünfhaus;30682,19994651484;21932,51469609583;84,33847859429284;24457,48098140879;20585,42814161914;85,09705273194719
16. Ottakring;32774,84589840759;23221,6821855382;89,29579544643418;27699,61233839564;22769,00221475857;94,12361835728781
17. Hernals;35415,61455541464;24737,37018389347;95,1241658625118;31003,32642920748;24919,85798308104;103,01493144908119
18. Währing;44633,12016583748;30010,6793184484;115,40195323565412;35843,61619038387;28053,47072799535;115,96881354281065
19. Döbling;46800,38041627718;31242,80916775722;120,1399396617988;35839,50206827091;28068,90505280923;116,0326167119035
20. Brigittenau;30749,91996146252;21990,34764207722;84,56086725990102;25483,30845227964;21283,45943039514;87,98260871751476
21. Floridsdorf;35938,4691331238;25352,02781067288;97,48774750452853;28990,70944871048;23711,51047900227;98,01980525759745
22. Donaustadt;39990,89712447765;27809,28102614539;106,9367778863833;29559,0133872772;24115,72544335894;99,69076890723649
23. Liesing;41046,45908506569;28402,15182632716;109,21658127341635;32419,38152035902;25981,96372847344;107,40551628417765
Quelle: Statistik Austria – Lohnsteuerstatistik.;;;;;;
