Lohnsteuerpflichtige Einkommen nach Gemeindebezirken 2022 – Männer;;;;;;
Gemeindebezirk;"Durchschnittlicher Jahresbezug
pro Arbeitnehmer";;"Index des
durchschnittlichen
Nettobezuges pro
Arbeitnehmer";"Durchschnittlicher Jahresbezug
pro Pensionist";;"Index des
durchschnittlichen
Nettobezuges
pro Pensionist"
;brutto;netto;;brutto;netto;
;EUR;;;EUR;;
Wien;41498,55575739784;28367,22180415296;100;34006,27950613297;26885,9667267066;100
1. Innere Stadt;74056,14935135136;46009,4633163752;162,19234873976774;49575,35877192982;36662,79214487832;136,3640464096094
2. Leopoldstadt;41317,23509404949;28116,63358854242;99,11662757339933;30078,87373831776;24249,0159152648;90,19209226044886
3. Landstraße;47956,70909057912;31989,06982053557;112,76772199049951;35417,19059891599;27659,08483468835;102,87554513416023
4. Wieden;50193,7005940594;33060,47136780345;116,54462180347673;38457,49653159851;29583,3184275093;110,0325635608384
5. Margareten;37525,00043547636;25851,61700817764;91,13200152858452;28744,46141765286;23435,51448964497;87,16634491095239
6. Mariahilf;45605,19442542479;30587,68937948395;107,82758209690422;33730,15521449396;26753,93720949605;99,5089277668435
7. Neubau;49512,52953737522;32633,01070732895;115,03773944669999;36240,89021425448;28192,2329077394;104,85854272718133
8. Josefstadt;49449,64672179466;32434,7361830686;114,3387830045456;41619,28824079165;31733,34933479934;118,02941533539017
9. Alsergrund;48391,61305079936;32033,27542332797;112,92355537840615;38423,96645598194;29575,56505320864;110,00372556375437
10. Favoriten;33751,33723857169;23838,55356220726;84,03555951579756;29809,01049565515;24232,59586268008;90,13101931205303
11. Simmering;36200,61605811404;25539,91907654879;90,03320541178181;30073,81408638652;24372,99147372118;90,65320849895568
12. Meidling;35839,05610948905;25088,76195072993;88,44278838422217;30164,76359219682;24368,96875;90,63824633017047
13. Hietzing;59633,97850689254;38837,07313818302;136,90827182976824;45884,82887118876;34489,9749897225;128,28244318052592
14. Penzing;44123,53939010738;30013,23850864463;105,80253052574466;36085,70543878775;28299,66399978197;105,25812327094455
15. Rudolfsheim-Fünfhaus;32471,90174045392;22955,48302565021;80,9225633166852;26167,24446264975;21714,34891649049;80,7646202095497
16. Ottakring;34611,76396605265;24262,18335627073;85,52893731989909;30262,90591644669;24430,59468724894;90,86745860985289
17. Hernals;38453,3437198553;26465,6738846463;93,29667200885964;35583,17201075269;27854,42130322581;103,60208203172854
18. Währing;51631,29360739377;33981,61134827702;119,7918202314127;42635,35162334477;32298,74073320254;120,1323391549067
19. Döbling;55548,94369975696;36176,37100828815;127,52877690331992;42841,21282919384;32478,76347856251;120,80191799947599
20. Brigittenau;32604,8913609263;23067,98710101098;81,31916216636283;27571,14700610111;22660,82775276002;84,28496539888361
21. Floridsdorf;39893,44937986157;27700,16452032486;97,64849272715722;32987,41634428072;26316,87370566933;97,88330831908688
22. Donaustadt;45556,14432229833;31088,00833090231;109,59130416624383;34284,41268986402;27238,49689745265;101,31120511428688
23. Liesing;46907,25354992784;31830,85222802556;112,2099740601511;38147,41536839342;29685,790580154;110,41369976355082
Quelle: Statistik Austria – Lohnsteuerstatistik.;;;;;;
