Lohnsteuerpflichtige Personen mit Wiener Wohnsitz nach Bruttojahreseinkommen und Geschlecht 2022;;;;;;
"Stufe der
Bruttobezüge in EUR";Arbeitnehmerinnen und Arbeitnehmer;;;Pensionistinnen und Pensionisten;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
Insgesamt;973514;510960;462554;395672;164113;231559
Bis 2.000;66992;34340;32652;5820;2512;3308
2.000 bis unter 4.000 Euro;43789;21734;22055;6113;2686;3427
4.000 bis unter 6.000 Euro;37145;17697;19448;7971;2884;5087
6.000 bis unter 8.000 Euro;34045;16024;18021;8982;2583;6399
8.000 bis unter 10.000 Euro;26660;12643;14017;10669;3195;7474
10.000 bis unter 12.000 Euro;26198;12671;13527;12274;3652;8622
12.000 bis unter 15.000 Euro;38473;18201;20272;44597;14451;30146
15.000 bis unter 20.000 Euro;62920;28640;34280;52813;17820;34993
20.000 bis unter 25.000 Euro;70464;31018;39446;45262;17391;27871
25.000 bis unter 30.000 Euro;75745;36761;38984;40607;15609;24998
30.000 bis unter 40.000 Euro;146601;79356;67245;67985;31197;36788
40.000 bis unter 50.000 Euro;110835;61279;49556;44758;23795;20963
50.000 bis unter 70.000 Euro;118240;65307;52933;31530;15776;15754
70.000 bis unter 100.000 Euro;68979;42652;26327;11579;7161;4418
100.000 Euro und mehr;46428;32637;13791;4712;3401;1311
Quelle: Statistik Austria – Lohnsteuerstatistik.;;;;;;
