Beitragspflichtige Bruttomonatseinkommen am Arbeitsort nach Wirtschaftstätigkeiten 2023;;;;;;
"Abschnitt 
(ÖNACE 2008)";Bruttomonatseinkommen;;;;;
;Wien;;;Österreich;;
;25 %;50 %;75 %;25 %;50 %;75 %
;... der ArbeitnehmerInnen verdienen weniger als ... EUR;;;;;
WirtschaftskIassen insgesamt;2252;3312;4833;2257;3229;4458
Land- und Forstwirtschaft_ Fischerei;1569;1959;2569;1454;1940;2381
Bergbau und Gewinnung von Steinen und Erden;3114;6373;6825;3436;4127;5131
Herstellung von Waren;2937;4232;5990;3018;3939;5233
Energieversorgung;4102;5542;6789;3817;5325;6782
Wasserversorgung_ Abwasser- und Abfallentsorgung;2713;3488;4667;2617;3281;4147
Bau;2777;3440;4340;2972;3633;4406
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;2042;2851;4328;1996;2755;3828
Verkehr und Lagerei;2199;3442;4414;2305;3149;4053
Beherbergung und Gastronomie;1425;2071;2500;1618;2238;2783
Information und Kommunikation;3372;4862;6488;3135;4562;6188
Erbringung von Finanz- und Versicherungsdienstleistungen;3480;5260;6798;2988;4519;6337
Grundstücks- und Wohnungswesen;1851;3083;4543;1808;2928;4315
"Erbringung von freiberuflichen, wissenschaftlichen und
technischen Dienstleistungen";2334;3720;5500;2250;3503;5135
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;1928;2549;3384;2033;2740;3449
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;2945;3880;5150;2558;3580;4766
Erziehung und Unterricht;1895;2923;4051;1546;2677;3815
Gesundheits- und Sozialwesen;1958;2824;3795;1878;2742;3767
Kunst, Unterhaltung und Erholung;1767;2925;4360;1633;2666;3880
Erbringung von sonstigen Dienstleistungen;1745;2723;4239;1646;2373;3660
Private Haushalte;1100;1692;2546;1056;1588;2422
Exterritoriale Organisationen und Körperschaften;3238;4271;5577;3235;4267;5559
Wirtschaftsklasse nicht bekannt;2097;3353;5083;2000;3401;5400
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;
