Bruttogehälter und Bruttolöhne in Wien nach Wirtschaftstätigkeiten und Geschlecht 2023;;;;;;
"Abschnitt
(ÖNACE 2008)";ArbeiterInnen – Bruttolöhne (1);;;Angestellte – Bruttogehälter (1);;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
;EUR;;;;;
WirtschaftskIassen insgesamt;2515;2826;2045;3832;4550;3382
Land- und Forstwirtschaft_ Fischerei;1952;1963;1938;3386;3834;2879
Bergbau und Gewinnung von Steinen und Erden;1867;;;6611;;
Herstellung von Waren;3225;3485;2428;5302;5798;4310
Energieversorgung;5715;5805;4269;5526;6022;4642
Wasserversorgung_ Abwasser- und Abfallentsorgung;3159;3218;2091;4532;5264;3848
Bau;3329;3350;1748;4141;4873;3164
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;2444;2664;1960;3051;3851;2620
Verkehr und Lagerei;2709;2745;2276;4048;4283;3568
Beherbergung und Gastronomie;2031;2107;1800;2696;2936;2537
Information und Kommunikation;1392;1651;1103;4901;5449;4078
Erbringung von Finanz- und Versicherungsdienstleistungen;1808;2057;1714;5301;6116;4651
Grundstücks- und Wohnungswesen;2186;2644;1741;3541;4023;3306
"Erbringung von freiberuflichen, wissenschaftlichen und
technischen Dienstleistungen";1925;2268;1438;3840;4575;3403
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;2363;2668;1974;3205;3616;2907
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;2938;3280;2743;4122;4582;3928
Erziehung und Unterricht;2153;2309;2130;2991;3235;2882
Gesundheits- und Sozialwesen;2032;1992;2088;3004;3264;2918
Kunst, Unterhaltung und Erholung;2005;2209;1614;3184;3522;2834
Erbringung von sonstigen Dienstleistungen;1908;2077;1813;3360;3783;3145
Private Haushalte;1586;;;1820;;
Exterritoriale Organisationen und Körperschaften;3345;4229;2760;4303;4477;4167
Wirtschaftsklasse nicht bekannt;1997;2306;1205;3413;3732;3089
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;
(1) Medianeinkommen.;;;;;;
