Naturdenkmäler nach Typen und Gemeindebezirken 2023;;;;
Gemeindebezirk;Insgesamt;Naturdenkmäler;;
;;Einzel-Naturdenkmäler (1);Gruppen-Naturdenkmäler (2);Flächige Naturdenkmäler (3)
Wien;423;322;54;47
1. Innere Stadt;12;11;–;1
2. Leopoldstadt;19;14;4;1
3. Landstraße;10;8;–;2
4. Wieden;6;6;–;–
5. Margareten;6;5;–;1
6. Mariahilf;2;2;–;–
7. Neubau;6;5;–;1
8. Josefstadt;5;5;–;–
9. Alsergrund;11;8;2;1
10. Favoriten;13;7;1;5
11. Simmering;11;7;4;–
12. Meidling;13;9;3;1
13. Hietzing;66;56;6;4
14. Penzing;41;27;7;7
15. Rudolfsheim-Fünfhaus;6;4;2;–
16. Ottakring;3;2;–;1
17. Hernals;17;11;4;2
18. Währing;24;20;2;2
19. Döbling;80;65;9;6
20. Brigittenau;3;1;2;–
21. Floridsdorf;13;10;–;3
22. Donaustadt;12;9;–;3
23. Liesing;44;30;8;6
Quelle: Stadt Wien Umweltschutz.;;;;
"(1) Einzelbäume. Bis zu 4 Bäume mit gleicher Baumart werden als Einzel-Naturdenkmal ausgewiesen.
(2) Baumgruppen ab 4 Bäumen, Baumzeilen und Alleen.
(3) Wälder, Wiesen, Standorte besonderer Pflanzen-/Tiergemeinschaften, Gewässer, Geologischer Aufschluss sowie Objekte kulturhistorischer Bedeutung
(z. B. Oberes Mühlwasser, Urwald am Johannser Kogel im Lainzer Tiergarten u. a.).";;;;
