Straßenbäume nach Baumgattungen und Altersgruppen 2023;;;;;;;
Baumgattung;Insgesamt;Straßenbäume (1) nach Altersgruppen (2);;;;;
;;bis 19;20–49;50–99;100–199;ab 200;nicht erfasst
Wien;99382;25675;40481;22101;3701;53;7371
Ahorn;25506;5388;10749;5924;511;–;2934
Linde;15501;3283;5752;5545;675;11;235
Rosskastanie;9535;845;3229;3473;1865;26;97
Esche;8906;2716;4349;1283;134;–;424
Zürgelbaum;4452;2658;1397;314;11;–;72
Platane;4252;922;1438;1573;268;5;46
Zierbirne;3600;2119;1418;2;1;–;60
Hainbuche;3058;1331;1491;165;–;–;71
Zierkirsche;2831;722;1681;168;1;–;259
Gleditsie;2578;1037;1104;374;3;–;60
Robinie;2416;102;1180;629;25;–;480
Ulme;2079;1467;364;43;6;–;199
Schnurbaum;2032;483;909;600;28;–;12
Pappel;1667;72;677;447;73;2;396
Baumhasel;1619;540;985;87;4;–;3
Ginkgo;979;532;405;40;–;–;2
Nussbaum;969;97;538;240;9;–;85
Kiefer;798;7;443;322;20;–;6
Eiche;780;158;238;305;35;7;37
Blasenbaum;745;351;331;49;3;–;11
Birke;663;49;443;162;1;–;8
Götterbaum;416;13;155;122;15;–;111
Weißdorn;259;36;175;28;–;–;20
Zierapfel;249;87;151;5;–;–;6
Trompetenbaum;196;34;143;17;1;–;1
Fichte;186;10;138;36;–;–;2
Mehlbeere;115;31;79;–;–;–;5
Geweihbaum;106;34;68;4;–;–;–
Judasbaum;82;47;22;–;–;–;13
Magnolie;81;36;39;–;–;–;6
Holunderbaum;76;2;45;17;–;–;12
Felsenbirne;75;64;3;–;–;–;8
Buche;70;12;25;8;2;1;22
Blauglockenbaum;69;18;29;19;2;–;1
Eibe;59;2;28;18;4;–;7
Maulbeerbaum;59;19;23;12;–;–;5
Tulpenbaum;55;23;23;9;–;–;–
Hibiskus;49;45;4;–;–;–;–
Weide;47;4;18;11;–;–;14
Hopfenbuche;33;5;28;–;–;–;–
Tamariske;23;21;2;–;–;–;–
Sonstige;2111;253;162;50;4;1;1641
Quelle: Stadt Wien Wiener Stadtgärten.;;;;;;;
"(1) Von der Stadt Wien Wiener Stadtgärten auf öffentlichen Gemeindestraßen verwaltete und betreute Bäume lt. Baumkataster. 
(2) Das Alter der Bäume wird aufgrund des Stammumfangs geschätzt. Ab 2006 ist das genaue Pflanzjahr bekannt.";;;;;;;
