Städtische Parkanlagen in Wien 2024 (1);;;;;;
Gemeindebezirk;Insgesamt (2);Öffentlich zugängliche städtische Parkanlagen (3);;;;
;;Fläche (4);Baumbestand;Wechselflorflächen (5);;Bänke
;;m²;;abs.;m²;
Wien;1009;13222911,999999998;202100;282;11031,699999999999;20548
1. Innere Stadt;24;151289,73;1557;42;798,48;1135
2. Leopoldstadt (6);44;3557776,2999999993;78065;3;154,07;1629
3. Landstraße;38;459812,32;4295;25;867,2000000000002;941
4. Wieden;17;76993,76;676;10;339,65000000000003;504
5. Margareten;25;90572,35;953;1;24,73;443
6. Mariahilf;11;41031,420000000006;481;2;58,82;338
7. Neubau;17;37968,369999999995;354;1;150,38;320
8. Josefstadt;12;23110,04;308;2;35,79;175
9. Alsergrund;26;155011,56;1553;7;272,34;424
10. Favoriten;85;2116781,91;34160;22;1294,4899999999998;2640
11. Simmering;50;389203,55999999994;4077;13;431,22;1094
12. Meidling;56;273761,4800000001;3121;1;53,36;924
13. Hietzing;49;506752,50999999995;12665;7;192,2;581
14. Penzing;50;340587,95;4525;8;137,14;687
15. Rudolfsheim-Fünfhaus;44;236117,35000000006;2395;11;245,46;779
16. Ottakring;37;137524,88;1722;8;213,08;616
17. Hernals;28;88400,69000000002;1339;2;46,46;387
18. Währing;24;620093,7;6504;8;461,68;1230
19. Döbling;58;437509,17000000004;6414;7;251,69;792
20. Brigittenau;29;221770,88000000003;1659;5;105,21000000000001;934
21. Floridsdorf;108;866809,9099999997;9208;13;589,1499999999999;1193
22. Donaustadt;104;1802660,53;16024;73;3962,22;1914
23. Liesing;73;591371,6299999998;10045;11;346,88;868
Quelle: Stadt Wien Wiener Stadtgärten.;;;;;;
"(1) Zum Stichtag: 12. 06. 2024
(2) Die Anzahl der städtischen Parkanlagen, die über mehrere Bezirke gehen, wurde dem Bezirk zugeordnet, in dem mehr Fläche der städtischen Parkanlage liegt.
(3) Park- und Grünanlagen. 
(4) Die Fläche der städtischen Parkanlagen, die über mehrere Bezirke gehen, wurde dem Bezirk zugeordnet, in dem die Fläche liegt, auch wenn die Anzahl diesem Bezirk nicht zugeordnet wurde.
(5) Bepflanzte Blumenbeete bzw. Pflanzgefäße in städtischen Parkanlagen, die mehrmals im Jahr neu bepflanzt werden.
(6) Der Prater wurde als eine Anlage gezählt.";;;;;;
