Städtische Sportanlagen, Sporthallen und Schulturnsäle nach Gemeindebezirken 2023;;;;;;
Gemeindebezirk;Großsportanlagen (1);;"Sporthallen in Verwaltung
der Stadt Wien";;Schulturnsäle, Gym.- und Bewegungsräume im Besitz der Stadt Wien;
;abs.;m² Grundfläche;abs.;m² Grundfläche;abs.;m²
Wien;148;3408634;17;58776;607;133635
1. Innere Stadt;–;–;–;–;3;406
2. Leopoldstadt;16;1073778;1;3680;41;8173
3. Landstraße;7;68510;–;–;25;4773
4. Wieden;–;–;–;–;8;1256
5. Margareten;2;2051;1;6385;11;1597
6. Mariahilf;–;–;1;750;7;1031
7. Neubau;–;–;–;–;11;2271
8. Josefstadt;1;1268;–;–;5;1085
9. Alsergrund;–;–;–;–;10;1504
10. Favoriten;16;416595;2;10623;65;15707
11. Simmering;10;207450;1;3609;37;9402
12. Meidling;5;52424;–;–;32;5330
13. Hietzing;2;16191;–;–;14;3162
14. Penzing;9;183249;–;–;30;6987
15. Rudolfsheim-Fünfhaus;3;45473;1;4173;29;4206
16. Ottakring;3;85851;1;3884;26;4444
17. Hernals;2;35108;–;–;16;2556
18. Währing;2;15171;–;–;15;1994
19. Döbling;13;131886;–;–;14;2658
20. Brigittenau;3;90680;1;6804;27;6103
21. Floridsdorf;17;249333;2;4620;63;16135
22. Donaustadt;25;498527;3;9124;79;22589
23. Liesing;12;235089;3;5124;39;10266
Quelle: Stadt Wien Sport Wien.;;;;;;
(1) Alle Sportanlagen über 1.000 m² Fläche, inklusive Betriebsführungsverträge, inklusive Spielplätze und Jugendsportanlagen in Verwaltung der Stadt Wien Sport Wien.;;;;;;
