Einnahmeerfolg und Abgabenertragsanteile Wiens als Land und Gemeinde seit 2000;;;;;
Jahr (1);Einnahmeerfolg;;Ertragsanteile Wiens;;
;in Wien;in Österreich;insgesamt;als Land;als Gemeinde
;;;;;
;Mio. EUR;;;;
2000;21675,0572298569;44222,7109874058;2952,26106988946;1431,9535911281;1520,30747876136
2001;23565,883119118;49829,279442817395;3212,8046218469;1500,9883590474;1711,8162627995
2002;23225,73802652;48509,09290062;3029,6461653303245;1422,555726139662;1607,0904391906624
2003;22871,00489273;47440,371764250005;2938,7225383489476;1366,4773971443153;1572,245141204632
2004;23061,270671520007;49895,79145096999;3085,4431070122837;1434,499147790197;1650,9439592220865
2005;26396,153285100023;54724,12623448001;3092,970661866099;1454,693732829245;1638,276929036854
2006;27229,818501;57324,919824;3269,0109949999996;1530,458258;1738,552737
2007;28351,67407297001;61837,03482861;3531,1098086335164;1669,64811586296;1861,4616927705565
2008;29906,45116763996;65520,441955879985;3926,2010804768815;1939,2471797510289;1986,953900725853
2009;28104,00289775;61587,17359952;4422,460757722892;2548,8713294690965;1873,589428253795
2010;29005,51695517999;63608,23569754999;4595,041086878247;2624,506492721603;1970,5345941566443
2011;31586,42792161999;68017,65840975998;4929,2999574813975;2832,444770414222;2096,855187067176
2012;32661,061107409972;70972,42689063997;5103,217606497105;2869,6155994804485;2233,602007016657
2013;33367,36135382999;75046,30431263999;5335,171794462926;3034,78203421137;2300,3897602515613
2014;34446,709527;77310,334444;5549,548148125612;3155,9922571661295;2393,555890959483
2015;35822,334513570015;81111,31625591002;5873,9927398630625;3324,905807404571;2549,086932458491
2016;35058,85336533998;79671,68800198997;5795,872185635525;3273,2445754165583;2522,6276102189668
2017;;;6051,460531;3409,496511;2641,96402
2018;;;6173,53031745607;3334,182538;2839,34777945607
2019;;;6421,77045662279;3469,26010323048;2952,51035339231
2020;;;5772,0341339999995;3035,891452;2736,142682
2021;;;6832,051147;3613,250491;3218,800656
2022;;;7656,3758904800925;4125,506683235031;3530,8692072450613
2023;;;7712,874126999999;4284,832863;3428,041264
Quelle: Bundesrechenzentrum.;;;;;
(1) Daten ab dem Jahr 2017 nicht verfügbar.;;;;;
