Personal der Bundesverwaltung in Wien nach Geschlecht seit 2005;;;;;;;;;
Jahr;Insgesamt (1);Geschlecht;;Beschäftigte zum 31.12. – davon…;;;;;
;;;;Beamtinnen und Beamte;;;Vertragsbedienstete;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
2005;56384;31820;24564;32641;21790;10851;23743;10030;13713
2006;49088;25592;23496;29491;18860;10631;19597;6732;12865
2007;48850;25346;23504;29173;18544;10629;19677;6802;12875
2008;49650;25478;24172;29057;18336;10721;20593;7142;13451
2009;48996;25091;23905;28033;17690;10343;20963;7401;13562
2010;48581;24769;23812;26824;16932;9892;21757;7837;13920
2011;48967;24857;24110;26596;16782;9814;22371;8075;14296
2012;48940;24739;24201;26117;16457;9660;22823;8282;14541
2013;48606;24501;24105;25230;15940;9290;23376;8561;14815
2014;48899;24598;24301;25072;15849;9223;23827;8749;15078
2015;48981;24592;24389;25046;15833;9213;23935;8759;15176
2016;49258;24652;24606;24675;15593;9082;24583;9059;15524
2017;50040;24902;25138;24003;15092;8911;26037;9810;16227
2018;50067;24789;25278;23077;14525;8552;26990;10264;16726
2019;48921;24381;24540;22437;14198;8239;26484;10183;16301
2020;49222;24488;24734;21921;13938;7983;27301;10550;16751
2021;49197;24216;24981;20899;13273;7626;28298;10943;17355
2022;49154;24059;25095;19992;12734;7258;29162;11325;17837
2023;49309;23949;25360;19043;12145;6898;30266;11804;18462
Quelle: Bundeskanzleramt.;;;;;;;;;
(1) Ohne Personal des Bundesministeriums für Landesverteidigung und Sport, da die Daten nur als Bundesgesamtsumme zur Verfügung stehen.;;;;;;;;;
