Personal der Bundesverwaltung in Wien nach Dienststellen und Geschlecht 2023;;;;;;;;;
Dienststelle (1);Insgesamt;Geschlecht;;Beschäftigte zum 31. 12. – davon…;;;;;
;;;;Beamtinnen und Beamte;;;Vertragsbedienstete;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
Personal der Bundesverwaltung;49309;23949;25360;19043;12145;6898;30266;11804;18462
Präsidentschaftskanzlei;78;37;41;24;15;9;54;22;32
Bundesgesetzgebung;781;387;394;468;262;206;313;125;188
Verfassungsgerichtshof;126;50;76;39;13;26;87;37;50
Verwaltungsgerichtshof;200;85;115;78;44;34;122;41;81
Volksanwaltschaft;110;33;77;45;21;24;65;12;53
Bundesrechnungshof;306;149;157;216;111;105;90;38;52
Bundeskanzleramt;1035;398;637;241;96;145;794;302;492
Bundesministerium für …;;;;;;;;;
Inneres;13070;8652;4418;9382;7072;2310;3688;1580;2108
darunter Wachebeamte;8754;6769;1985;8071;6296;1775;683;473;210
"europäische und internationale 
Angelegenheiten";1257;587;670;364;233;131;893;354;539
Justiz;4671;1901;2770;2431;1278;1153;2240;623;1617
Finanzen;4352;2025;2327;1593;831;762;2759;1194;1565
Kunst, Kultur, öffentlichen Dienst und Sport;695;294;401;148;60;88;547;234;313
"Soziales, Gesundheit, Pflege 
und Konsumentenschutz";1094;404;690;295;112;183;799;292;507
Bildung, Wissenschaft und Forschung;17240;6880;10360;2319;1220;1099;14921;5660;9261
Arbeit und Wirtschaft;1884;938;946;694;384;310;1190;554;636
Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie;1242;547;695;311;147;164;931;400;531
Land- und Forstwirtschaft, Regionen und Wasserwirtschaft;1168;582;586;395;246;149;773;336;437
Quelle: Bundeskanzleramt.;;;;;;;;;
(1) Bezeichnung der Bundesministerien mit Stand 31. 12. 2023. Ohne Personal des Bundesministeriums für Landesverteidigung, da die Daten nur als Bundesgesamtsumme zur Verfügung stehen.;;;;;;;;;
