Strom- und Fernwärmeerzeugung der Wien Energie seit 2015 (1);;;;;;;;;
"Strom- und Fernwärmeerzeugung, 
Strombedarf_ Leitungslänge";Berichtsjahr;;;;;;;;
;2015;2016;2017;2018,0;2019,0;2020;2021,0;2022,0;2023,0
Erzeugung der Wien Energie GmbH inkl. anteiliger Beteiligungsmengen in MWh;9957322,119264252;11268124,865506917;11449723,457162682;11372178,567246594;12673299,279725492;12244237,387423752;12116909,322549451;11886258,111282809;10187024,842481434
Summe Stromerzeugung;5052435,332597586;5934837,519173584;6025846,623829349;6053058,896189974;7398048,658392159;6850224,739485085;6280832,003586747;6628183,800300338;5475490,984459279
Kalorische Erzeugung;4080301,7467462486;4808683,516100251;4829405,01;4957432,9010000015;6213555,573945325;5623093,828346251;5020448,633544998;5347042,957579998;4049854,227679
Biomasse;103118,43133333357;101313,57377733357;107722,89733333352;97087,26133333365;67833,28933333393;84520,62666666694;80099,83174316677;93710,15866666671;85870,4733333333
Wasserkraft;668140,428240004;761350,458;747286,8612500159;701500,3134665588;766764,927775;816369,416259;776295,9368712344;734511,4937713634;834350,52472268
Windkraft;190008,243668;251403,926576;328074,53724599996;282814,42039007996;332353,61733850004;295125,2761425;326488,42312503804;360700,58273446374;398240,223359994
Photovoltaik;10866,482610000001;12086,044719999998;13357,318000000001;14224,0;17541,25;31115,59207066747;77499,17830230905;92218,60754784704;107175,535364273
Summe Wärmeerzeugung;4904886,786666667;5333287,346333333;5423876,833333333;5319119,671056621;5275250,621333334;5394012,647938667;5836077,318962704;5258074,31098247;4711533,858022156
KWK Wien Energie;2972621,0530000003;3432150,013;3308819,5;3302020,169;3329177,729;3474741,7500000005;3626809,5569839;3107569,7027898;2569614,5285823
Müll- und Sondermüllverbrennung (eigene);1160204;1296562;1312066,9999999998;1336214,0000000002;1374556,0;1374330;1388512,9704504078;1286471,483184836;1199981,19619356
Spitzenkessel;423344,00000000006;266660,99999999994;460314,00000000006;362234,99999999994;189137,86900000004;106223;275522,22499039024;436151,6004230141;522262,602444049
Erd- und Umgebungsenergie;–;–;–;5355,5020566204;97690,69000000002;110927,04000000001;191868,19416289995;95768,3568799;95976,3815287
Heizzentralen;231333,06700000013;256137;256112,99999999994;227939,0;239867,00000000003;229352,99999999994;248240,42381883998;220372,36620251994;206283,41973088
Biomassekraftwerk;117384,66666666667;81777,33333333333;86563,33333333333;85356,00000000001;44821,33333333333;98437,85793866668;105123,94855626667;111740,8015024;117415,729542667
Absatz Wärme inkl. Wärmebezug und exkl. Netzverluste;5681024,641000001;5992679;6133639,999999999;5868299,0;5850123,0;5960311,355;6373437,0;5791823,685;5427382,548
Strombedarf im Versorgungsgebiet (2) in MWh;11576224;11584809;11572191;11698011,0;11630073,0;11182167;11302333,0;11049813,972000001;10624751,0
Leitungslängen (3) in km;23555;23697;20095;20285,0;20416,0;20535;20614,0;20741,0;20844,0
Freileitung;3735;3742;2751;2820,0;2846,0;2827;2827,0;2814,0;2817,0
Kabel;19820;19955;17344;17465,0;17570,0;17708;17787,0;17927,0;18027,0
Quelle: Wien Energie GmbH und Wiener Netze GmbH (Strombedarf und Leitungslängen).;;;;;;;;;
"(1) Aufgrund einer veränderten Darstellung der Daten bei der Wien Energie GmbH und der Wiener Netze GmbH sind die Zahlen der Strom- und Fernwärmeerzeugung 2019 nicht mit den Tabellen aus den Vorjahren vergleichbar.
(2) Die Daten beziehen sich auf das gesamte Versorgungsgebiet der Wiener Netze GmbH, d.h. über die Wiener Stadtgrenze hinaus_ Werte inklusive Netzverluste.
(3) Spannungsebenen 230/400V bis 400kV_ Angaben beziehen sich auf das gesamte Versorgungsgebiet der Wiener Netze GmbH.";;;;;;;;;
