Erdgas in Wien seit 2013;;;;;
Jahr (1);Erdgas;;;;
;"Netzdurch-
leitungsmenge";größte Tagesdurchleitungsmenge;;;Gaszähler
;;1.000 m³ NZ;Tag;"Durchschnitts-
temperatur";
;1.000 m³ NZ;;;°C;
2002/03;2205662;14480;2003-01-09 00:00:00;-9,3;710203
2003/04;2172116;12985;2004-01-05 00:00:00;-5,6;707362
2004/05;2300484;13795;2005-02-09 00:00:00;-6,1;703718
2005/06;2159766;14625;2006-01-24 00:00:00;-12,7;699060
2006/07;1698746;12217;2007-01-25 00:00:00;-2,6;693569
2007/08;2070612;12076;2008-01-04 00:00:00;-3,7;688472
2008/09;2064741;13015;2009-02-18 00:00:00;-3,3;683171
2009/10;2307385;14874;2009-12-21 00:00:00;-8,5;678323
2010/11;2181789;14872;23022011;-5,8;673646
2011/12;1874792;16835;2012-02-03 00:00:00;-11,6;668437
2013;1750633;13703;25012013;-3,6;663293
2014;1504412;12474;30012014;-1,3;659523
2015;1658918;11582;08012015;-1,8;656393
2016;1701578;12839;21122016;-3,4;653954
2017;1848238;14427;30012017;-6,8;650459
2018;1837538;15631;01032018;-8,2;646584
2019;1999868;14007;22012019;-5,7;642500
2020;1938649;13280;02122020;-1,4;637247
2021;1948439;14124;12022021;-5,6;631344
2022;1836305;12706;12012022;-2,6;622844
2023;1524050;11780;06022023;-3,3;612536
Quelle: Wien Energie Gasnetz GmbH.;;;;;
(1) Stand jeweils am Ende des Wirtschaftsjahres. Ab 2013 Umstellung auf Kalenderjahr, die Werte des Rumpfjahres 2012 (Oktober bis Dezember 2012) sind nicht verfügbar.;;;;;
