Gemeinderatswahl – Stimmenanteile der Parteien nach Gemeindebezirken 2020;;;;;;;;
Gemeindebezirk;Gemeinderatswahl;;;;;;;
;SPÖ;ÖVP;GRÜNE;NEOS;FPÖ;HC (1);LINKS;sonstige Parteien (2)
;%;;;;;;;
Wien;41,62185855016051;20,432501126807544;14,80314982336344;7,466977991760176;7,112740023790456;3,2650540798703243;2,0563720794320064;3,241346324815538
1. Innere Stadt;29,33753943217666;33,88538380651946;15,378548895899053;11,921661409043113;4,547844374342797;2,1819137749737116;1,3275499474237646;1,4195583596214476
2. Leopoldstadt;42,49016970198676;14,641970198675496;21,549048013245034;7,605546357615895;5,114341887417218;2,775765728476821;3,388865894039735;2,4342922185430353
3. Landstraße;39,60504064153619;19,10697725165021;19,19426108777481;9,39119524303093;4,996999618133216;2,512137908461077;2,872183732475042;2,3212045169385362
4. Wieden;35,66317311167329;20,59992771955186;22,298518250813153;10,654138055655945;3,9031441994940366;2,002168413444163;3,1803397181062523;1,6985905312612886
5. Margareten;40,58140124803409;14,925676018466847;22,616812947085386;7,934655775962661;4,845010400284106;2,2982091218101566;3,8049819897519157;2,9932524986048463
6. Mariahilf;36,96578058452049;17,146423850785723;26,017036275517697;8,951387868996916;3,833161991481862;1,5347334410339257;3,5100602144220887;2,0414157732413116
7. Neubau;34,375;15,201039387308535;29,75929978118162;10,0109409190372;3,282275711159737;1,3402625820568927;4,219091903719913;1,8120897155361035
8. Josefstadt;32,9131776112825;20,925517849272808;24,319083296606433;10,947553988541207;3,79021595416483;1,4808285588364918;3,76377258704275;1,8598501542529817
9. Alsergrund;35,35103634064545;19,159931826928364;23,92654901313981;11,012150200670735;3,8539776788168676;1,462422343174446;3,326186156468195;1,9077464401561173
10. Favoriten;48,398615873216514;18,655690562341007;8,146755360331179;4,485771619080725;9,497701022294553;4,563194235965176;1,3367251813111283;4,915546145459729
11. Simmering;46,63309189678588;17,15991398822997;6,694205522861023;4,260977818017202;14,893617021276595;4,651425984608419;1,1147578089633319;4,592009959257581
12. Meidling;44,83463396506875;18,676452372104546;13,74334200421157;6,44122383252818;6,964573268921096;3,61389817911557;2,0655270655270654;3,6603493125232234
13. Hietzing;31,364739796692458;32,45334547109695;14,273251403428919;11,549840691852527;5,021999696555909;2,2834167804582006;1,2137763617053559;1,8396297982096854
14. Penzing;39,240151051234946;23,086344151867728;15,625637885282712;8,231271688099612;6,473259848948764;2,847519902020821;1,740151051234946;2,7556644213104704
15. Rudolfsheim-Fünfhaus;42,27109053497942;14,103223593964334;21,176268861454048;5,872770919067215;5,701303155006858;2,9020919067215365;4,128086419753087;3,845164609053498
16. Ottakring;41,69026722373328;17,917729860079074;17,909317780332557;6,524969856714241;6,048285337745002;3,1152735327930907;3,1573339315256708;3,6368224770770894
17. Hernals;36,346180864515524;21,013440734323048;20,00187327307638;8,968294853182222;5,404392825364117;2,383739989696998;3,175197864468693;2,7068795953730103
18. Währing;30,634243090587677;24,800586383822708;22,968136937869186;11,706118225326607;3,5571077480274225;1,7936446341568577;2,500754538007157;2,0394084422023866
19. Döbling;35,058736013389954;29,615968756780216;13,256671729225427;10,696463441093512;5,538852555558999;2,4579239376375415;1,3389951337445372;2,036388432569808
20. Brigittenau;48,14856840273838;15,685162071182724;14,357577820643746;5,1174401452399865;6,982109762093877;3,3132871893793263;2,715685162071183;3,6801694466507797
21. Floridsdorf;46,21238163692615;20,413137910559705;7,989312166005187;5,21110034688584;9,711240976280509;4,865777055532986;0,8156504890777837;4,781399418731837
22. Donaustadt;46,15766851350344;21,068846430967227;9,11451216179284;6,249844716638923;9,027553479589555;4,227434221968248;0,9776640413426421;3,176476434197127
23. Liesing;41,68869829506422;24,218831317526075;10,441950996107167;7,752357557715928;8,02298228448904;3,4202802006786435;0,880571226346358;3,574328122072558
Quelle: Stadtwahlbehörde.;;;;;;;;
"(1) Team HC Strache – Allianz für Österreich.
(2) In Wien angetretene sonstige Parteien: BIER (Die Bierpartei), SÖZ (Soziales Österreich der Zukunft), VOLT (Volt Österreich), WIFF (Wir für Floridsdorf), PRO (Liste Ernst Paleta – für ein lebenswertes Liesing).";;;;;;;;
