Bezirksvertretungswahlen – Stimmenanteile der Parteien nach Gemeindebezirken 2020;;;;;;;;;;;;;;;
Gemeindebezirk;Bezirksvertretungswahlen;;;;;;;;;;;;;;
;SPÖ;ÖVP;GRÜNE;FPÖ;NEOS;HC (1);LINKS;sonstige Parteien (2);;;;;;;
;%;;;;;;;;;;;;;;
Wien;37,62192555330947;20,138437793933473;18,46980507501312;7,748021389262756;6,620096345221453;2,820202356144736;2,535427915170475;4,046083571944507;;;;;;;
1. Innere Stadt;22,966682998530132;40,51935325820676;17,381185693287605;4,850563449289564;11,060754532092112;1,6046055854973051;1,6168544830965212;–;;;;;;;
2. Leopoldstadt;35,378095553766755;12,44140347554335;30,555424025758793;5,033382262417728;6,626734220370283;2,272834888015531;4,453335858705431;3,238789715422115;;;;;;;
3. Landstraße;37,02281511033537;17,07019074928313;23,096870714374766;4,725096621368906;8,80189502555791;2,2765241241740433;3,7252212941029796;3,281386360802884;;;;;;;
4. Wieden;33,23099033185263;19,787039456493336;28,102952704468255;3,4426443689574078;8,629474784426444;1,5024823621635746;3,6647504572772402;1,6396655343611144;;;;;;;
5. Margareten;35,30637765735723;13,843731184289751;28,22009170487703;4,6639803621879485;7,489231624287898;1,9545180862396367;5,266083090176463;3,2559862905840475;;;;;;;
6. Mariahilf;37,195645001649616;14,866380732431542;30,42560211151435;3,576377433190366;7,053777631144836;1,273507093368525;3,8073243154074565;1,8013856812932971;;;;;;;
7. Neubau;20,597560975609756;13,719512195121952;44,90853658536585;2,975609756097561;7,865853658536586;1,0304878048780488;4,76219512195122;4,140243902439039;;;;;;;
8. Josefstadt;18,58092074038918;30,548963771555133;33,59436797975004;3,4013605442176873;7,2535991140642295;0,9413067552602437;4,0104413858566685;1,6690397089068227;;;;;;;–
9. Alsergrund;31,447784810126585;18,319818037974684;29,2128164556962;3,6590189873417724;9,567840189873419;1,260878164556962;4,375988924050633;2,1558544303797476;;;;;;;
10. Favoriten;47,40475464797318;18,00060957025297;8,983541603169765;10,521182566290765;4,148125571472113;4,318805242304176;1,5681194757695824;5,054861322767465;;;;;;;
11. Simmering;41,49445290406787;11,295410050032629;6,7163367413530555;28,437024146182292;3,532194909723733;2,9938003045464434;1,1012616924080922;4,429519251685903;;;;;;;
12. Meidling;41,99788334901223;16,850893697083723;15,910159924741299;6,849717779868297;5,841368767638758;3,2131937911571025;2,463546566321731;6,873236124176884;;;;;;;
13. Hietzing;22,279830056887736;44,250018002448336;15,064448765032044;3,895729819255419;8,871606538489235;1,7570389572981924;1,2349679556419673;2,646359904947076;;;;;;;
14. Penzing;36,937289212571486;23,56664548609414;18,32200987340535;6,439708685664011;7,444156605894717;2,5318930544014857;1,9624615083826191;2,795835573586203;;;;;;;
15. Rudolfsheim-Fünfhaus;38,52911945935202;13,396938978334328;23,88789505068575;6,1180679785330945;5,4939375869608424;2,6197575034784335;5,708606638839197;4,2456768038163375;;;;;;;
16. Ottakring;39,025739652764976;16,834839423558236;20,012118976736833;6,019969966014174;6,072661169217799;2,8242484917143083;4,333851463498169;4,876570856495505;;;;;;;
17. Hernals;33,20654074851347;19,709688702343477;24,27859391395593;5,561385099685205;8,280867436166492;2,0636586218957675;3,9611752360965378;2,9380902413431187;;;;;;;
18. Währing;17,861506325621722;27,48196902218894;38,69861663973515;2,743073345682418;8,071572143617232;1,2375359634256888;2,1400701533125766;1,7656564064162694;;;;;;;
19. Döbling;26,921733053808527;36,88562776613091;16,020265548567437;5,104239459585372;9,774633123689727;1,8809690193337991;1,420917773119031;1,9916142557651995;;;;;;;
20. Brigittenau;45,015870751453335;14,782980848104426;17,2652377046257;7,354042583544349;4,985912479047042;3,0992546096508438;3,637790220763936;3,858910802810371;;;;;;;
21. Floridsdorf;44,521066989996974;18,11458017581085;9,192179448317672;9,643831464080025;4,652925128826917;4,458926947559867;0,8926947559866626;8,523795089421014;;;;;;;
22. Donaustadt;45,07613969351972;19,813133496661383;10,99101695729452;9,764855646827113;5,97828697698996;3,863428928279771;1,2213575443147429;3,291780756112786;;;;;;;
23. Liesing;40,39909260634774;22,84544195290386;12,16349145805312;7,985867143115251;7,279224298877803;3,157810210186096;1,0017465320297914;5,167325798486331;;;;;;;
Quelle: Stadtwahlbehörde.;;;;;;;;;;;;;;;
"(1) Team HC Strache – Allianz für Österreich.
(2) In allen Bezirken, außer dem 1.: BIER (Die Bierpartei), in allen Bezirken außer dem 1., 4., 6. und 8.: SÖZ (Soziales Österreich der Zukunft), im 1. bis 10. und im 21. Bezirk: VOLT (Volt Österreich), im 2., 3. und 16. Bezirk: KURZ (Liste KURZ), im 2. Bezirk: VOLK (VOLK – Gemeinsam entscheiden), im 7. Bezirk: WANDL (Wandel – Wer Wandel will, muss den Wandel wählen), im 12. Bezirk: PH (Pro Hetzendorf), im 13. Bezirk: WIR (WIR Hietzing), im 16. Bezirk: PdA (Partei der Arbeit Österreichs), im 21. Bezirk WIFF (Wir für Floridsdorf), im 21. Bezirk: WIEN (Mein Wien), im 23. Bezirk: PRO (PRO23 – Liste Ernst Paleta).";;;;;;;;;;;;;;;
