Nationalratswahl – Stimmenanteile der Parteien nach Gemeindebezirken 2024;;;;;;;;;
Gemeindebezirk;Nationalratswahl;;;;;;;;
;SPÖ;FPÖ;ÖVP;GRÜNE;NEOS;KPÖ;BIER (1);GAZA (2);sonstige Parteien (3)
;%;;;;;;;;
Wien;29,95;20,71;17,4;12,26;11,32;3,83;2,12;1,14;1,2699999999999818
1. Innere Stadt;19,116427810020134;14,58012554779107;30,842117730664455;12,128390382565438;18,997986497690395;2,0371905720715384;0,9475304986379249;0,31979154329029963;1,0304394172687381
2. Leopoldstadt;33,18163502334732;15,008651544241388;13,631515323899595;17,36471592121169;11,81113560406741;4,880419066581337;1,7848254284292115;1,220697338168717;1,11640475005332
3. Landstraße;30,261920087141654;14,69525177006486;17,34168440857553;15,324058028420062;14,328860721889388;4,1293261375451795;1,896321235827103;0,6807941773530722;1,3417834331831529
4. Wieden;28,644379383127937;11,663375774494451;18,758085381630014;18,186151017906994;15,700960032681962;3,9150268945325797;1,3957921971811806;0,5515081364471982;1,1847211819976877
5. Margareten;33,62678668579059;14,04124833077798;12,997675453781095;17,325288095355855;11,939265047727385;5,920174093674267;1,805232701914041;1,09303130718631;1,2512982837924795
6. Mariahilf;31,508473394239488;10,963107608619847;15,15447381267871;20,050212706604363;14,038635888137248;4,909686867982425;1,6040170165283492;0,6206848455261873;1,1507078596833793
7. Neubau;30,96280802666841;9,445061768743056;13,654487221387019;22,295574874174783;15,38662657690045;5,039545068305118;1,5099026080135958;0,4379371200732074;1,268056735734362
8. Josefstadt;27,579596599433238;10,560093348891481;18,186364394065677;19,486581096849477;17,002833805634275;4,200700116686114;1,2918819803300552;0,3750625104184031;1,316886147691278
9. Alsergrund;28,81726158763985;10,927011188066063;17,35215769845498;18,50293020777837;16,50506126798082;4,613745338305807;1,5450186467767715;0,5327650506126799;1,2040490143846654
10. Favoriten;33,283817516347874;27,479747009908266;15,542351337692766;7,069020965099006;7,462595139282378;3,4043400358351588;2,307845449394325;2,396667636564113;1,053614909876103
11. Simmering;32,07083659530816;31,32845611856491;14,561455605647492;5,480117701050131;6,50325297627082;3,352860189509489;3,7820910833355827;1,9328888049024107;0,9880409254110134
12. Meidling;32,793163565692076;20,938009088570695;15,650633056103347;11,50933150418703;9,371516762411042;4,452828031667096;2,3464517419760496;1,5462002343593702;1,3918660150332727
13. Hietzing;21,491092575429924;16,1638005011499;26,64332543850616;13,750729413380016;16,23931623931624;2,2208492088010163;1,7746198469090035;0,3466858888545636;1,3695808876531856
14. Penzing;28,470470606948894;19,124230236098803;18,46297179994092;14,297725361874248;11,752675710682393;3,6857772627082057;2,0883041334333172;0,6680755334378621;1,4497693548753716
15. Rudolfsheim-Fünfhaus;34,87904037354587;16,576097894779213;11,612929195346776;16,86994324356962;8,658374592440527;6,537052690898845;2,064967999033933;1,6302378939741575;1,1713561164110473
16. Ottakring;32,60287314341369;17,923328734139545;14,701187674160648;14,833752671590508;10,053296539783025;5,451397343289235;1,950599247896545;1,2498985471958446;1,2336660985309749
17. Hernals;28,703945649333683;15,225154603257558;17,507185785210346;17,09781377928752;12,781987631739394;4,712133089452139;1,7637836425398485;0,7534186917515896;1,4545771274279247
18. Währing;23,960643574337677;12,05290535908706;20,44840517762813;19,19432235170773;17,270857695874835;3,6977297471672244;1,4315093350538328;0,4637283761441994;1,479898382999309
19. Döbling;23,10064239828694;16,59100642398287;26,441113490364028;11,757316202712348;16,25410421127766;2,478229835831549;1,5988579586009992;0,6423982869379015;1,1363311920056844
20. Brigittenau;34,383681824828194;20,78520251498757;13,98596286006726;12,154554759467759;7,932446264073695;5,015353121801433;2,2335136715894137;2,3760783740312914;1,1332066091533761
21. Floridsdorf;29,5959443307184;29,83637187959388;17,104702762856007;6,9971286081305735;8,465797463832828;3,059612293404042;2,457856485361397;1,1375657741080136;1,3450204019948586
22. Donaustadt;29,909575701367956;27,447674050966427;17,124760238602114;7,739814092700714;9,703222814746116;3,073161477984107;2,5704529646101637;1,0212254705646775;1,4101131884577427
23. Liesing;28,42941985949156;23,68544940971971;20,351995364670096;9,151155211124792;11,264213804591874;2,670746722676903;2,111247917722894;0,988628956326501;1,3471427536756693
Österreich;;;;;;;;;
Stimmenanteile;21,1;28,8;26,3;8,2;9,1;2,4;2;0,4;1,7
Quelle: Landeswahlbehörde Wien und Bundeswahlbehörde.;;;;;;;;;
"(1) BIER = Die Bierpartei.
(2) GAZA = Liste GAZA – Stimmen gegen den Völkermord.
(3) In Wien angetretene sonstige Parteien: LMP – Liste Madeleine Petrovic, MFG – Österreich Menschen, Freiheit, Grundrechte, KEINE – Keine von denen.";;;;;;;;;
