Nominelle Bruttowertschöpfung in Wien zu Herstellungspreisen seit 2017;;;;;;
"Abschnitt
(ÖNACE 2008)";Berichtsjahr;;;;;
;2017;2018,0;2019,0;2020,0;2021;2022,0
;Mio. EUR;;;;;
Bruttowertschöpfung;82836;86812,0;89170,0;86216,0;91873;99422,0
Land- und Forstwirtschaft, Fischerei (A);34;44,0;51,0;58,0;70;65,0
Bergbau und Gewinnung von Steinen u. Erden (B);114;96,0;57,0;53,0;15;30,0
Herstellung von Waren  (C);6442;6279,0;5749,0;5883,0;7294;6858,0
Energieversorgung (D);1544;1462,0;1282,0;1612,0;1417;2015,0
"Wasserversorgung_ Abwasser- u. Abfallentsorgung u. 
Beseitigung v. Umweltverschmutzungen €";636;685,0;697,0;734,0;764;805,0
Bau (F);3624;3977,0;4113,0;4225,0;4327;4878,0
Handel_ Instandhaltung und Reparatur von KFZ (G);9923;11065,0;11320,0;10668,0;11198;13509,0
Verkehr und Lagerei (H);4505;4560,0;4653,0;4568,0;4492;5016,0
Beherbergung und Gastronomie (I);2964;3135,0;3397,0;1320,0;1691;2701,0
Information und Kommunikation (J);7324;8020,0;8379,0;8306,0;8756;8960,0
Erbringung von Finanz- und Versicherungsdienstl. (K);4987;5129,0;5358,0;5205,0;5802;6215,0
Grundstücks- und Wohnungswesen (L);8185;8469,0;8601,0;8797,0;9039;9218,0
Erbringung v. freiberuflichen, wissenschaftl., techn. u. sonst. wirtschaftl. Dienstl. (M+N);12550;13213,0;13946,0;13183,0;13852;14365,0
Öffentliche Verwaltung, Verteidigung_ Sozialversicherung (O);4917;5100,0;5256,0;5471,0;5690;5885,0
Erziehung und Unterricht (P);5480;5675,0;5895,0;6046,0;6276;6612,0
Gesundheits- und Sozialwesen (Q);6122;6352,0;6698,0;6948,0;7954;8332,0
Kunst, Unterhaltung und Erholung, Erbringung von sonst. Dienstl., private Haushalte (R,S,T);3486;3551,0;3718,0;3138,0;3236;3958,0
Quelle: Statistik Austria – Regionale Gesamtrechnungen, ESVG 2010 (Revisionsstand September 2022).;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;
