Nominelle Bruttowertschöpfung in Wien nach Sektoren seit 2000;;;;;;;
Jahr;Insgesamt;Nominelle Bruttowertschöpfung;;;;;
;;primärer Sektor;;sekundärer Sektor;;tertiärer Sektor;
;Mio. EUR;Mio. EUR;%;Mio. EUR;%;Mio. EUR;%
2000;51456;31;0,0602456467661692;10228;19,877176616915424;41197;80,0625777363184
2001;53480;36;0,06731488406881077;10297;19,25392670157068;43147;80,6787584143605
2002;55301;35;0,06328999475597186;10250;18,534927035677473;45017;81,40359125513102
2003;56013;37;0,06605609412100762;10396;18,559977148162034;45580;81,37396675771696
2004;57540;40;0,0695168578380257;10430;18,126520681265205;47069;81,80222453945082
2005;59891;34;0,05676979846721544;10319;17,229633834799888;49538;82,7135963667329
2006;63396;37;0,05836330367846552;11172;17,62256293772478;52186;82,31749637201085
2007;66054;42;0,06358434008538469;11115;16,827141429739303;54897;83,10927423017532
2008;68510;41;0,05984527806159685;11752;17,15370018975332;56717;82,78645453218509
2009;68001;29;0,0426464316701225;11560;16,999750003676418;56413;82,95907413126278
2010;69611;33;0,04740630072833316;11258;16,172731321199237;58320;83,77986237807244
2011;71967;24;0,033348618116636794;10773;14,96936095710534;61170;84,99729042477803
2012;72950;17;0,023303632625085675;10983;15,05551747772447;61950;84,92117888965045
2013;74063;24;0,032404844524256377;11410;15,405803167573554;62630;84,56314218975737
2014;75613;23;0,03041804980625025;11082;14,656209910994141;64508;85,3133720391996
2015;77845;25;0,03340700005139539;11198;14,384995825036933;66622;85,5828890744428
2016;82004;34;0,04057742911246096;12560;15,316326032876445;69410;84,64221257499635
2017;82836;34;0,03822036428784712;12359;14,919841614756868;70443;85,03911342894393
2018;86812;44;0,05068423720223011;12499;14,397779108878957;74269;85,55153665391882
2019;89170;51;0,05837842692592676;11898;13,343052596164629;77222;86,60087473365482
2020;86216;58;0,06891718257212942;12507;14,506588104296187;73650;85,42497912220469
2021;91873;70;0,0767426053018177;13816;15,03815049035081;77987;84,88565737485442
2022;99422;65;0,0767426053018177;14586;14,670797207861439;84771;85,26382490796806
Quelle: Statistik Austria – Regionale Gesamtrechnungen, ESVG 2010.;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
interne Anmerkung: wegen Revisionen immer auch die Vorjahre verändern;;;;;;;
