Unternehmen und Beschäftigte in Wien nach Geschlecht und Wirtschaftstätigkeiten 2022;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Unternehmen;Beschäftigte;;
;;insgesamt;Geschlecht;
;;;Männer;Frauen
Insgesamt;151234;1323565;706438;617127
Land- und Forstwirtschaft;1039;2315;1368;947
Bergbau;23;80;53;27
Herstellung von Waren;3419;64233;46940;17293
Nahrungs- und Futtermittel;415;9300;5158;4142
Elektrische Ausrüstungen;75;8472;6524;1948
Reparatur/Installation v. Maschinen;280;9628;8289;1339
Pharmazeutische Erzeugnisse;84;2506;1322;1184
Maschinenbau;99;5571;4564;1007
Metallerzeugnisse;355;3078;2364;714
Sonstige Waren;581;3494;1946;1548
Kraftwagen und -teile;82;2099;1924;175
Datenverarbeitungsgeräte;179;2150;1710;440
Chemische Erzeugnisse;96;2448;1686;762
Rest;1173;15487;11453;4034
Energieversorgung;79;6777;5036;1741
Wasserversorgung und Abfallentsorgung;89;1278;1026;252
Abfallbehandlung;71;1004;794;210
Beseitigung v. Umweltverschmutzungen;1;1;1;–
Rest;17;273;231;42
Bau;6902;65974;58309;7665
Sonst. Bautätigkeiten;5722;41978;36702;5276
Hochbau;1105;20058;17907;2151
Tiefbau;75;3938;3700;238
Handel;17937;144910;68585;76325
Einzelhandel;10543;77008;25713;51295
Großhandel;5858;56304;33427;22877
Kfz-Handel und -reparatur;1536;11598;9445;2153
Verkehr;4769;92962;75383;17579
Landverkehr;4132;38829;33066;5763
Dienstleistungen für den Verkehr;338;31958;27386;4572
Post- und Kurierdienste;245;21780;14662;7118
Luftfahrt;40;253;164;89
Schifffahrt;14;142;105;37
Beherbergung und Gastronomie;7145;71129;39001;32128
Information und Kommunikation;10799;79391;53910;25481
IT-Dienstleistungen;5803;36351;26571;9780
Informationsdienstleistungen;2363;14551;10285;4266
Telekommunikation;96;10973;7756;3217
Rest;2537;17516;9298;8218
Finanz- und Versicherungsleistungen;3624;58437;31051;27386
Grundstücks- und Wohnungswesen;5287;20465;9997;10468
Freiberufliche/techn. Dienstleistungen;37671;132804;68117;64687
Unternehmensführung, -beratung;14529;43801;25371;18430
Rechtsberatung und Wirtschaftsprüfung;6091;28238;10385;17853
Architektur- und Ingenieurbüros;4644;21691;13621;8070
Werbung und Marktforschung;5282;18254;8363;9891
Rest;7125;20820;10377;10443
Sonst. wirtschaftl. Dienstleistungen;7230;103584;55591;47993
Öffentliche Verwaltung;157;199638;93182;106456
Erziehung und Unterricht;4350;72480;29284;43196
Gesundheits- und Sozialwesen;19109;134232;36875;97357
Kunst, Unterhaltung und Erholung;9082;30223;16169;14054
Sonst. Dienstleistungen;12523;42653;16561;26092
Quelle: Statistik Austria – Arbeitsstättenzählung 2022.;;;;
