Betriebe, Beschäftigte und weitere Kennzahlen in Wien nach Wirtschaftstätigkeiten 2020;;;;;;;;
Abschnitt (ÖNACE 2008);Betriebe;Beschäftigte (1);Betriebserlöse;"Waren- und
Dienstleistungskäufe";"Lagerbestand
Jahresende";"Bruttoinvestitionen
in Sachanlagen";;
;;;Mio. EUR;;;;;
Insgesamt;85313;746583;259327,24699999997;178791,71600000001;19258,631999999998;12572,368000000002;;
Bergbau;9;145;95,351;50,817;22,912;4,902;;
Herstellung von Waren;2726;57632;20749,809;16188,727;4410,481;486,613;;Anmerkung:
Energieversorgung;145;6561;26970,253;25173,004;206,225;755,514;;"ENFÄLLT (Einheit ""Betriebe"" seit 2021 nicht mehr reportet)"
Wasserversorgung und Abfallentsorgung;87;4055;1621,638;920,182;39,777;101,914;;
Bau;6512;59034;10727,203;7075,309;3923,999;164,975;;
Handel;15825;142403;89965,28;76615,579;5883,791;894,456;;
Verkehr;3889;72473;15304,297;10982,893;131,548;1152,089;;
Beherbergung und Gastronomie;6636;63019;2953,125;1986,006;64,939;149,436;;
Information und Kommunikation;8786;66693;18020,982;10792,943;500,909;870,498;;
Finanz- und Versicherungsleistungen;1455;55405;36217,28;8920,738;8,293;444,828;;
Grundstücks- und Wohnungswesen;8454;21160;10103,814;5524,068;2111,504;3134,417;;
Freiberufliche Dienstleistungen;25095;104309;16403,192;9703,763;1607,301;300,289;;
Sonstige wirtschaftliche Dienstleistungen;5215;92428;10092,762;4793,926;343,37;4111,969;;
Sonstige Dienstleistungen;479;1266;102,261;63,761;3,583;0,468;;
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2020.;;;;;;;;
(1) Beschäftigte im Jahresdurchschnitt.;;;;;;;;
