Rebflächen in Wien nach Katastralgemeinden 2024;;;
"Gemeindebezirk
Katastralgemeinde (1)";Anzahl der Schläge in Wien;Fläche;
;;m²;%
Insgesamt;2419;6035460,999999998;100
10. Favoriten;105;222040;3,6789236149483875
Oberlaa-Stadt;105;222040;3,6789236149483875
13. Hietzing;2;1002;0,01660188012150191
Schönbrunn;2;1002;0,01660188012150191
16. Ottakring;45;48296;0,8002039943593374
Ottakring;45;48296;0,8002039943593374
17. Hernals;19;78851;1,3064619256093284
Dornbach;19;78851;1,3064619256093284
19. Döbling;1059;2905622,9999999977;48,14251968490888
Grinzing;226;698245,9999999994;11,569058270776658
Heiligenstadt;106;335641,00000000006;5,5611493471666895
Josefsdorf;7;26353,999999999996;0,43665264343519083
Kahlenbergerdorf;56;162686;2,695502464517624
Neustift am Walde;165;335478;5,558448642116983
Nussdorf;321;977243,9999999997;16,191704328799407
Obersievering;123;205063;3,3976360712131197
Pötzleinsdorf;2;11327;0,18767414784057096
Salmannsdorf;13;19636,000000000004;0,32534383040500153
Untersievering;40;133947,99999999997;2,219349938637662
21. Floridsdorf;997;2308838;38,254542610746725
Stammersdorf;989;2296872,0000000005;38,05628103636162
Strebersdorf;8;11966,000000000002;0,19826157438512163
22. Donaustadt;7;26268,000000000004;0,4352277315684753
Breitenlee;6;24995,000000000004;0,4141357221925552
Süßenbrunn;1;1273;0,02109200937592009
23. Liesing;185;444543,0000000002;7,365518557737351
Kalksburg;17;47350,000000000015;0,7845299638254647
Liesing;51;132080,00000000003;2,1883995273931864
Mauer;110;258490,99999999997;4,282870852781586
Rodaun;7;6622;0,10971821373711142
Quelle: Stadt Wien Wasserrecht.;;;
