Weinernte nach Bundesländern 2023;;;;;;
Bundesland;Insgesamt;;Weinernte zum Stichtag 30. 11.;;;
;;;Weißwein;;Rot- und Roséwein;
;ertragsfähige Fläche (1);Ernte;ertragsfähige Fläche (1);Ernte;ertragsfähige Fläche (1);Ernte
;;;;;;
;ha;hl;ha;hl;ha;hl
Österreich;42594;2330713,3899999997;29477;1661877;13117;668837
Burgenland;11103;583961,8600000001;4715;257403;6388;326559
Niederösterreich;25728;1528415,0999999996;20144;1231482;5584;296933
Steiermark;4892;190662,82;3951;150614;941;40049
Wien;665;22907,18;516;19195;149;3713
Übrige Bundesländer;206;4766,43;151;3183;55;1583
Quelle: Statistik Austria – Ernteerhebung 2023.;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;
(1) Flächen 2023 lt. Agrarmarkt Austria (Auswertung der Mehrfachanträge, Stand März 2024).;;;;;;
