Viehzählungen in Wien seit 1991;;;;;
Jahr (1);Insgesamt;Viehbestand nach Tiergattungen;;;
;;Rinder;Schweine;Schafe;Ziegen
;;hochgerechnetes Stichprobenergebnis zum Stichtag 1. 12.;;;
1991;2015;102;1473;361;79
1992;2010;90;1461;358;101
1993;2102;95;1460;478;69
1994;1760;86;1242;382;50
1995;1456;81;912;383;80
1996;1324;75;853;334;62
1997;1459;124;901;332;102
1998;1508;82;962;397;67
1999;1249;87;724;362;76
2000;965;;663;235;67
2001;859;;598;194;67
2002;897;149;404;275;69
2003;527;58;203;193;73
2004;667;58;205;255;149
2005;585;136;187;170;92
2006;684;138;216;240;90
2007;711;152;260;185;114
2008;652;118;146;282;106
2009;796;113;284;297;102
2010;730;115;126;282;207
2011;659;130;145;266;118
2012;658;107;93;236;222
2013;576;92;76;213;195
2014;583;95;200;174;114
2015;807;71;426;132;178
2016;526;95;203;106;122
2017;647;80;216;195;156
2018;586;78;149;208;151
2019;580;78;147;200;155
2020;480;70;83;204;123
2021;572;70;93;236;173
2022;616;7;237;218;154
2023;589;67;99;263;160
Quelle: Statistik Austria – Allgemeine Viehzählungen und Bundesanstalt für Agrarwirtschaft (Rinderbestand).;;;;;
(1) 2000 und 2001 fanden keine Erhebungen des Rinderbestands statt.;;;;;
