Wildabschuss und Fallwild in den Jagdgebieten (1) der Stadt Wien nach Wildarten seit 2015;;;;;;;;;
Wildarten;Jagdjahr;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023
Abschüsse;;;;;;;;;
Abschüsse insgesamt;2461;2566;2657;2290;2504;2615;3022;2560;1963
Abschuss von Haarwild;;;;;;;;;
Haarwild insgesamt;2066;2225;2447;1845;2142;2129;2677;2282;1829
Rotwild;64;68;58;34;8;19;20;27;35
Damwild;76;71;46;36;31;28;19;22;22
Rehwild;354;400;405;437;371;458;508;480;379
Muffelwild;170;98;63;72;40;33;55;51;82
Schwarzwild;1005;1178;1466;893;1234;1201;1621;1312;892
Hasen (2);168;204;74;83;157;137;242;190;165
Dachse;23;22;16;21;24;30;28;24;30
Füchse;136;114;229;187;212;159;118;109;126
Marder;36;29;37;46;40;43;46;36;75
Wiesel;30;38;39;30;20;16;17;28;17
lltisse;4;3;2;4;5;5;3;3;6
Abschuss von Federwild;;;;;;;;;
Federwild insgesamt;395;341;210;445;362;486;345;278;134
Fasane (3);301;254;166;170;216;191;176;133;81
Rebhühner;15;13;1;1;2;1;–;1;2
Wildenten;42;38;20;10;31;74;32;17;22
Wildgänse;–;–;–;–;–;–;1;2;24
Wildtauben;37;36;23;264;113;220;136;125;5
Fallwild;;;;;;;;;
Fallwild (Verluste) insgesamt;359;299;162;307;904;900;916;986;1002
Fallwild bei Haarwild;;;;;;;;;
Haarwild insgesamt;325;270;132;255;372;592;380;400;372
Rotwild;12;12;5;1;3;–;1;–;–
Damwild;1;2;2;2;2;3;4;3;1
Rehwild;165;142;43;135;152;177;171;179;194
Muffelwild;7;1;4;3;1;4;2;3;3
Schwarzwild;83;53;40;31;28;24;42;50;31
Hasen;34;33;21;45;66;62;81;73;65
Sonstiges Haarwild;23;27;17;38;120;322;79;92;78
Fallwild bei Federwild;;;;;;;;;
Federwild insgesamt;34;29;30;52;532;308;536;586;630
Fasane;27;26;13;20;20;13;18;18;24
Rebhühner;2;1;2;14;–;5;9;1;15
Sonstiges Federwild;5;2;15;18;512;290;509;567;591
Quelle: Stadt Wien Wasserrecht.;;;;;;;;;
"(1) Im Stadtgebiet von Wien gibt es 33 Jagdgebiete (Stand: 2023).
(2) 2015: Zusätzlich Abschuss von 12 Wildkaninchen. 2016: Zusätzlich Abschuss von 2 Wildkaninchen. 2020: Zusätzlich Abschuss von 4 Wildkaninchen. 2021 und 2023: Zusätzlich Abschuss von 1 Wildkaninchen.
(3) 2020: Zusätzlich Abschuss von 3 Schnepfen und 2 Blässhühnern. 2021: Zusätzlich Abschuss von 1 Schnepfe. 2022: Zusätzlich Abschuss von 3 Schnepfen.";;;;;;;;;
