Produzierender Bereich (1) Wiens ohne Bauwesen nach Monaten 2023;;;;;;
Monat (2);Betriebe;Unselbstständig Beschäftigte;"Bezahlte
Arbeitsstunden";Bruttoverdienste;Auftragseingänge;"Wert der technischen
Gesamtproduktion"
;;;1.000 h;Mio. EUR;;
Jänner;3506;68152;10966,598;349,087;682,307;4508,908
Februar;3384;67449;10361,95;286,921;726,189;8281,283
März;3435;67729;10914,245;318,999;1388,599;7909,33
April;3428;67822;10481,695;327,569;656,318;7115,185
Mai;3425;68168;10847,87;384,746;737,84;5678,925
Juni;3471;68351;10964,311;488,016;845,301;5464,667
Juli;3462;68898;10870,163;319,827;757,403;4957,002
August;3451;68798;11145,795;330,343;654,395;4984,36
September;3460;68834;10882,784;313,37;723,669;5137,537
Oktober;3510;69150;10972,926;340,826;914,76;5190,884
November;3482;69328;11085,176;469,244;1840,552;6215,35
Dezember;3490;68968;10644,88;397,598;1925,79;6481,061
Quelle: Statistik Austria – Konjunkturstatistik im Produzierenden Bereich (Grundgesamtheit).;;;;;;
"(1) Bergbau u. Gewinnung von Steinen u. Erden_ Herstellung von Waren_ Energieversorgung_ Wasserversorgung, Abwasser- u. Abfallentsorgung u. Beseitigung von Umweltverschmutzungen.
(2) Monatsende, vorläufige Ergebnisse.";;;;;;
