Gästeankünfte und -übernachtungen in Wien nach Betriebskategorien und Monaten 2023;;;;;;
Monat;Ankünfte;Gästeübernachtungen;;;;
;;Hotels und ähnliche Beherbergungsbetriebe;;;;"Jugendherbergen
und Camping"
;;5-Stern;4-Stern;3-Stern;2-/1-Stern (1);
2023;7394023;1652476;6678506;4350946;3815005;764193
Jänner;396014;100497;373754;236776;181392;36352
Februar;388874;86402;346719;230210;184972;39183
März;496702;111688;450448;297751;235371;49145
April;620481;138776;603521;384093;328473;70138
Mai;629458;137851;576452;388310;317123;72736
Juni;664390;148079;577883;393348;330389;77740
Juli;746268;152822;662148;417411;408088;87875
August;711004;147323;658947;422529;412708;87520
September;684623;152708;599888;409068;359260;72306
Oktober;665149;150974;587546;385880;350700;64189
November;624486;139121;536313;337827;311480;45814
Dezember;766574;186235;704887;447743;395049;61195
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;
(1) Einschließlich Übernachtungen in privaten und gewerblichen Ferienwohnungen/Appartments.;;;;;;
