"Nettoauslastung der Gästebetten in Wien nach Betriebskategorien seit 2000
in Hotels und ähnlichen Beherbergungsbetrieben, in %";;;;;
Jahr;insgesamt;5-Stern;4-Stern;3-Stern;2-/1-Stern
2000;52,7;52,5723175922377;57,31520052135666;52,51697065835989;36,31207229429257
2001;52,51868901107946;53,1;55,5;52,8;35,1
2002;52,587700379774795;55,3;55,3;52,4;34,7
2003;54,232256939607225;56,2;57,5;54,9;34,1
2004;56,08380948784306;54,14174779412871;61,23953716555555;54,950453716520556;34,46274148309788
2005;56,68365632977712;55,704279516977394;61,93810279046108;55,39417057362343;32,72124226907352
2006;58,40053199108491;57,72141168157769;62,90626549541658;58,318606821412864;34,3
2007;58,20795330745116;57;60,1;59,2;45,3
2008;55,93054545460948;52,9;55,9;59,5;49,9
2009;51,20777978716588;51,36703200452768;51,7664829875622;52,15247663818495;44,74499245668259
2010;56,81279572114867;54,5;58,8;56,9;49,2
2011;56,4816077207699;55,28564432235715;57,47441070117206;57,4456777808127;50,158473038225196
2012;56,68264258720204;56,13812585010901;57,496952002478785;57,42507868109479;51,50303394259961
2013;54,67487169254307;53,85978734728294;56,95233183315879;54,97880232387268;44,97802208301883
2014;56,3;53,3;58,4;57,5;48,4
2015;57;54,7;58,7;58,1;50,6
2016;58,3;52,29652830910479;61,27625314640427;59,035727235480294;52,34986333176362
2017;58,9;54,1;61,2;58,5;54,1
2018;60,2;55,3;61,6;61,1;56,1
2019;61,9;54,3;63,8;62,9;59,4
2020;22,3;16,1;23;23,3;25,7
2021;23,974175454490563;19,02415139058852;25,228152109645002;24,120557384715152;25,481494822403626
2022;46,5;41,8;47,7;46,8;46,1
2023;54;50,2;55,9;53,5;51,7
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
