Nationale und internationale Kongresse in Wien seit 2006;;;;;;;
Jahr;Nationale und internationale Kongresse;;;;;;
;abs.;TeilnehmerInnen;"Ø Teilnehmer-
Innenzahl";Ø Dauer in Tagen;Kongresstage;"Teilnehmer-
Innentage";Übernachtungen
Insgesamt;;;;;;;
2006;782;230210;294,386189258312;3,024296675191816;2365;741173;911786
2007;713;275592;386,52454417952316;3,096774193548387;2208;903092;1145730
2008;701;233174;332,63052781740373;2,951497860199715;2069;743727;964708
2009;882;303335;343,9172335600907;2,7687074829931975;2442;912561;1128901
2010;935;305608;326,8534759358289;2,7475935828877005;2569;861222;1053850
2011;1018;328787;322,97347740667976;2,7141453831041256;2763;903634;1097782
2012;1146;367127;320,35514834205935;2,7059336823734728;3101;1019251;1263198
2013;1221;364101;298,1990171990172;2,487305487305487;3037;941034;1128513
2014;1458;381840;261,89300411522635;2,4540466392318243;3578;1005096;1198720
2015;1392;387553;278,41451149425285;2,579022988505747;3590;1099899,6;1394398
2016;1320;398576;301,95151515151514;2,528787878787879;3338;1097406;1422477
2017;1314;429727;327,03729071537293;2,598173515981735;3414;1175450;1528800
2018;1544;454103;294,10816062176167;2,4572538860103625;3794;1167607;1609534
2019;1420;358906;252,7507042253521;2,2338028169014086;3172;877260;1199068
2020;570;313890;550,6842105263158;5,187719298245614;2957;868431;980451
2021;572;84331;147,4318181818182;2,520979020979021;1442;213149;230173
2022;1672;302067;180,66208133971293;2,1566985645933014;3606;809212;968622
2023;2154;390469;181,27623026926648;2,0682451253481893;4455;1201861;1201695
Nationale Kongresse;;;;;;;
2006;175;48803;278,8742857142857;2,257142857142857;395;112422;78919
2007;198;53067;268,0151515151515;2,292929292929293;454;121679;80851
2008;231;60722;262,86580086580085;2,0865800865800868;482;126701;78619
2009;326;75261;230,86196319018404;2,0552147239263805;670;152678;94357
2010;356;95731;269;2,101123595505618;748;201143;136757
2011;380;114813;302;1,9;725;219052;149997
2012;439;116338;265;2,05;900;238506;143951
2013;544;132483;243;1,81;987;239680;147584
2014;679;128471;189,20618556701032;1,7172312223858615;1166;220614;124306
2015;649;116972;180,23420647149462;1,7380585516178737;1128;203304,3;118488
2016;581;112184;193,08777969018934;1,7366609294320137;1009;194826;131466
2017;512;121308;236,9296875;1,818359375;931;220582;149610
2018;540;103052;190,83703703703705;1,8537037037037036;1001;191028;121971
2019;733;122442;167,04229195088678;1,6521145975443383;1211;202288;128344
2020;427;39023;91,3887587822014;1,7049180327868851;728;66531;46405
2021;347;39871;114,90201729106629;2,0835734870317;723;71074;45001
2022;1141;109555;96,01665205959685;1,7300613496932515;1974;187537;112283
2023;1422;153161;107,70815752461323;1,69971870604782;2417;259624;129812
Internationale Kongresse;;;;;;;
2006;607;181407;298,85831960461286;3,245469522240527;1970;628751;832867
2007;515;222525;432,0873786407767;3,4058252427184468;1754;781413;1064879
2008;470;172452;366,9191489361702;3,376595744680851;1587;617026;886089
2009;556;228074;410,205035971223;3,1870503597122304;1772;759883;1034544
2010;579;209877;362;3,145077720207254;1821;660079;917093
2011;638;213974;336;3,2;2038;684582;947785
2012;707;250789;355;3,1;2201;780745;1119247
2013;677;231618;342;3,03;2050;701354;980929
2014;779;253369;325,2490372272144;3,096277278562259;2412;784482;1074414
2015;743;270581;364,17362045760433;3,313593539703903;2462;896595,3;1275910
2016;739;286392;387,53991880920165;3,151556156968877;2329;902580;1291011
2017;802;308419;384,56234413965086;3,096009975062344;2483;954868;1379190
2018;1004;351051;349,65239043824704;2,7818725099601593;2793;976579;1487563
2019;687;236464;344,19796215429403;2,8544395924308588;1961;674972;1070724
2020;143;39766;278,0839160839161;2,986013986013986;427;118742;157225
2021;225;44460;197,6;3,1955555555555555;719;142074;185172
2022;531;192512;362,54613935969866;3,073446327683616;1632;621675;856339
2023;732;237308;324,1912568306011;2,7841530054644807;2038;942237;1071883
Quelle: Wien Tourismus – Vienna Convention Bureau.;;;;;;;
